deenpx,expend
amnosw,womans
dgimtu,midgut
cdeeit,deceit
adilmy,milady
aderrs,darers
aderrt,"darter,retard,tarred,trader"
aaccdi,cicada
aderrw,"drawer,redraw,reward,warder,warred"
adilms,dismal
aderry,dreary
chknsu,chunks
dehmry,rhymed
cdeeiv,device
ajnstu,"jaunts,juntas"
dnorsw,drowns
afglno,flagon
cdeeip,pieced
adlmno,"almond,dolman"
ejkops,kopjes
alpsst,splats
eerssv,"serves,severs,verses"
abmrsu,"rumbas,umbras"
eersst,"esters,resets,serest,steers,steres"
aacdnr,canard
aflnpu,panful
ghistw,wights
cesssu,cusses
eeertt,teeter
aootty,toyota
eilopt,polite
gilstu,guilts
afglnu,fungal
deelsw,slewed
deelsv,delves
deelsu,eludes
deelst,eldest
aginrs,"grains,rasing"
aginrr,raring
deoptu,pouted
cersst,crests
bdegil,bilged
cerssw,screws
eggorr,gorger
cehior,"coheir,heroic"
aachnr,anarch
bdegiu,budgie
cmoops,compos
aemttu,mutate
enoprs,person
bdegir,"begird,bridge"
aanrtt,"rattan,tantra,tartan"
eegnop,pongee
eggoru,gouger
adlosw,woalds
beoppr,bopper
gginos,goings
gilnsy,"lyings,lysing,singly"
eiqstu,quiets
aceegn,encage
cehmor,chrome
gilnst,glints
cehmot,cometh
einopr,opiner
hinops,siphon
aloruv,"ovular,valour"
billow,billow
eejrsy,jersey
abemsy,embays
eiprtt,pitter
billox,bollix
eejrst,jester
ghhily,highly
beirsu,"bruise,buries,busier,rubies"
beirst,"bestir,biters,tribes"
ailvwy,wavily
ehmrsu,"musher,rheums"
adellp,palled
aelmps,"maples,sample"
aelmpr,"ampler,palmer"
ddeein,"denied,indeed"
aeinrv,"ravine,vainer"
deefht,hefted
aelmpu,ampule
hiloot,oolith
hnopsy,syphon
acddiy,dyadic
achmor,chroma
achmos,"machos,mochas"
deirrv,driver
cekmor,mocker
ekkops,kopeks
abddhu,buddha
bbemor,"bomber,mobber"
bdemru,dumber
ccehlo,cloche
ccehln,clench
aehrrt,rather
abcehl,bleach
aeouvz,zouave
aceotx,texaco
deeklp,kelped
abcehr,breach
agisst,agists
abcehy,beachy
abeeln,"baleen,enable"
impprs,primps
aceotv,"avocet,octave"
cdekmo,mocked
aelltw,wallet
aefsuv,fauves
aelltu,luteal
ahloss,shoals
elpsux,plexus
aabbst,sabbat
lruuxy,luxury
aellty,lately
llrstu,trulls
ceiinr,irenic
ceiins,incise
ceiint,incite
accino,cocain
acilsv,"cavils,slavic"
hilnpt,plinth
elstux,exults
allotw,tallow
adells,"dalles,ladles"
aeehrr,"hearer,rehear"
adeirt,tirade
agllsu,gallus
aeehrv,heaver
aeehrt,"aether,heater,hereat,reheat"
abcdtu,abduct
alloww,wallow
eeiinw,wienie
abelss,sables
bbdiku,dibbuk
loostt,lottos
agmnor,morgan
aairvy,aviary
ccnooo,cocoon
ceemrt,cermet
acilos,social
abeily,bailey
abdeit,baited
cdelos,closed
cdelor,colder
acilot,coital
ceemrs,cremes
aeilmr,"mailer,remail"
abeilr,bailer
aeilmp,impale
abeilw,bewail
abeilv,viable
cdeloy,cloyed
abeilt,albeit
cimnou,muonic
agrssu,sugars
gnoppu,"oppugn,popgun"
dimotu,dimout
abeilm,lambie
abeill,"labile,liable"
cdeloo,"cooled,locoed"
ahnstu,"haunts,unhats"
agrssy,grassy
aadmrs,"dramas,madras"
aceghu,gauche
acemrs,"creams,macers,scream"
aceghr,charge
abdenn,banned
acemry,creamy
adiiln,inlaid
dintuy,"nudity,untidy"
bceesz,zebecs
ainpst,"paints,pintas"
bceesx,xebecs
abdenu,danube
abdenr,bander
adiils,iliads
aorrty,rotary
cehnuu,eunuch
aeegjy,jaygee
aceghn,change
ddempu,dumped
egnops,sponge
illsuv,villus
abdinr,riband
ehjors,josher
ekllns,knells
abdint,bandit
blowyz,blowzy
aborru,arbour
aborrw,barrow
aacnst,sancta
hmostu,mouths
aborrs,arbors
aahpss,pashas
ehlosw,wholes
hippwy,whippy
aeggru,gauger
ginrwy,wrying
cehtty,tetchy
egoosy,goosey
afklns,flanks
egooss,gooses
adehox,hoaxed
egoosw,oswego
mopsst,stomps
mopssu,possum
berrru,burrer
ghosty,ghosty
aalmnu,"alumna,manual"
aerttt,tatter
aalmnw,lawman
aiktuw,kuwait
abckru,buckra
addenw,dawned
ghostu,"oughts,sought,toughs"
aeggjr,jagger
ckknsu,knucks
eepssw,sweeps
chnrsu,churns
accipr,capric
aeinnt,innate
ainssw,swains
eeklmy,meekly
cknoru,uncork
cllssu,sculls
gilnpu,puling
cennos,nonces
cennor,conner
ahhisv,shivah
beoqsu,bosque
alosss,lassos
aeluuv,uvulae
admrsu,mudras
acdnor,"candor,dacron"
aaottw,ottawa
aahlps,alphas
eiopst,potsie
deejll,jelled
joosuy,joyous
agilmn,"laming,lingam,malign"
beossu,bouses
abilmm,imbalm
ailqsu,quails
acehik,hackie
eiorsz,seizor
abejru,abjure
abilmu,labium
agilmy,gamily
acehir,achier
acehis,chaise
belrsu,rubles
hlssuy,slushy
aghlsu,laughs
belrsy,beryls
elnozz,nozzle
eklosy,yokels
arstwy,"strawy,swarty"
aabdeu,aubade
aabdet,abated
eisssu,issues
ceilpv,pelvic
cdeesu,"deuces,educes,seduce"
ceilps,splice
aegllu,ullage
deegos,geodes
delopw,plowed
aeglly,galley
ceenss,"censes,scenes"
chnpuy,punchy
eefirr,refire
mosttu,utmost
afinyz,nazify
glnouy,loungy
cklssu,sculks
aehnns,hennas
dksuuz,kudzus
hhoosw,whoosh
derttu,rutted
aabmss,sambas
dgilsu,guilds
alotuw,outlaw
bcektu,bucket
aerttu,tauter
eiorss,osiers
elostv,voltes
ahknss,shanks
abbesy,abbeys
abbess,abbess
agmmry,grammy
cdorwy,crowdy
abgllo,global
fhilty,filthy
acensu,uncase
alnrsy,snarly
cdlloy,coldly
dehpst,depths
aclops,copals
hijoss,shojis
belltu,bullet
alnrsu,lunars
aginst,"gainst,giants,sating"
deelru,"dueler,eluder"
deelrv,delver
deelrw,"lewder,reweld,welder"
delmou,module
delmot,molted
deelrs,elders
deistu,"duties,suited"
eilppr,"lipper,ripple"
deistw,widest
deistv,divest
cerstu,"cruets,curets,eructs,truces"
aginsy,saying
bdessu,bussed
ciimot,miotic
adelst,"deltas,desalt,lasted,salted,slated,staled"
dimnoo,domino
adelsv,"salved,slaved"
adelsy,delays
acceht,cachet
eelrsv,"elvers,levers,revels"
eenttx,extent
abdirs,"braids,disbar"
delmoo,loomed
chiopt,photic
aceeff,efface
adglly,gladly
chiopr,orphic
cdehko,"choked,hocked"
gilnru,"luring,ruling"
aceefn,enface
abnruu,auburn
iorssv,visors
akmnsy,skyman
flostu,flouts
eiprsz,prizes
ceehst,etches
aceefs,faeces
aossvy,savoys
eiprss,"prises,spiers,spires"
beirrs,briers
eiprsu,uprise
beirru,"burier,rubier"
eiprsw,wipers
ddenuy,undyed
cdeguw,gweduc
cceilr,"circle,cleric"
moqruu,quorum
cceilt,celtic
eeeppr,peeper
cceily,cicely
ceimrs,crimes
afllty,flatly
ceimru,"cerium,uremic"
acestz,aztecs
aadfir,afraid
ailnsv,"anvils,silvan"
ilpsst,splits
bdiotu,outbid
clrtuy,curtly
diilty,tidily
aabnsw,bwanas
acggin,caging
ahimrs,marish
celnoy,ceylon
abdekn,banked
aaestv,savate
deiott,toited
celnos,clones
celnor,cornel
degrsu,surged
celnov,cloven
iprstt,stript
eijnsx,jinxes
ginopt,"opting,toping"
abeltt,"battle,tablet"
hillrt,thrill
hillrs,shrill
aadrty,datary
chmpsu,chumps
ginopr,"poring,roping"
bgintu,tubing
anoosw,aswoon
elmtuy,mutely
aefrst,"afters,faster,strafe"
ginopx,poxing
aberrz,brazer
diimtw,dimwit
aehlrs,"halers,lasher"
aehlrt,"halter,lather"
aehlru,hauler
aehlrw,whaler
diimty,dimity
abbkos,kabobs
deostt,sotted
aknssw,swanks
rsstty,trysts
assttu,"status,suttas"
ailprs,spiral
kloopu,lookup
abimsu,iambus
loopss,"sloops,spools"
oopssw,swoops
egprru,purger
deoprv,proved
egilru,"gluier,uglier"
deoprt,"deport,ported"
cestuy,"cutesy,cuteys"
hlloow,hollow
acfnor,franco
cdekot,docket
beggir,bigger
aeemss,sesame
cdekor,"corked,docker,rocked"
aenpry,napery
deegmr,"degerm,merged"
aenprw,"enwrap,pawner"
aenprt,"enrapt,entrap,parent,trepan"
aeglnr,"angler,regnal"
degnru,"gerund,nudger"
ceilrs,"relics,slicer"
deimnr,"minder,remind"
adilst,distal
bdehot,hotbed
abeiir,iberia
blopuw,blowup
egimnw,mewing
ddehis,dished
alnpst,plants
orsuvw,vrouws
abeiil,bailie
eefinr,refine
lloswy,slowly
bdehoo,hoboed
ehhirt,hither
eilpry,ripely
bbdelo,lobbed
aajnps,japans
bdikno,bodkin
cdlouy,cloudy
bbosuy,busboy
dlnnoo,london
eilprs,"lisper,perils,pliers"
abdeis,"abides,biased"
abdeir,abider
aertwy,watery
beissu,busies
eehosx,hexose
abdeil,bailed
aginvw,waving
bbdelu,bulbed
aioprt,tropia
egiort,"goiter,goitre"
lnruuy,unruly
egiorr,gorier
egiors,orgies
bnnoru,unborn
eefirz,frieze
goortt,grotto
cchnru,crunch
deenno,neoned
fipruy,purify
akmnsu,unmask
deennp,penned
demoss,mossed
demost,modest
demosu,moused
aehlmt,hamlet
deenny,yenned
eenprt,repent
ffgiin,fifing
abilsy,bialys
abilss,basils
acehkl,hackle
einpss,"snipes,spines"
aabdgo,dagoba
cciisv,civics
cfklos,flocks
ceelst,"elects,select"
eelmpt,temple
acehkr,hacker
beorwy,"bowery,bowyer"
eiknov,invoke
agilor,gloria
ceelsx,excels
ceelsy,lycees
cfkloy,flocky
akllsy,alkyls
beelsz,bezels
chikrs,"chirks,kirsch"
beelst,betels
beelsv,bevels
deffru,"duffer,ruffed"
acimrs,racism
eeorst,stereo
aisstw,waists
hlmoos,sholom
koopsy,spooky
dgiluw,ludwig
eglnos,longes
aaflnu,faunal
koopss,spooks
cehirt,thrice
afikrs,"fakirs,kafirs"
eglnnu,gunnel
deiill,lilied
fhortu,fourth
fhorty,frothy
eehmpt,tempeh
adeghn,hanged
adeghs,gashed
ddenoy,dynode
aghnos,hogans
adnoty,dayton
accirr,ricrac
aceivv,vivace
ddenor,"droned,nodder"
ddenos,sodden
accirt,arctic
ddenow,downed
efnorz,frozen
deimss,"deisms,dismes,missed"
bcnors,broncs
deimst,"demits,misted"
deimsu,medius
efnors,fresno
bddeer,bedder
ampswy,swampy
klrtuu,kultur
cehirs,riches
dillmy,mildly
aehors,"ahorse,ashore,hoarse"
bddeen,bended
cehirr,richer
ceistu,cuties
ceistv,"civets,evicts"
allnos,llanos
aegimn,"enigma,gamine"
acmnow,cowman
beeguy,bugeye
ilmnot,milton
agilrs,"argils,grails"
eersuv,revues
aeorsz,azores
alnoos,saloon
ddiopy,dipody
beilrt,riblet
aacdht,datcha
aacdhs,dachas
beilrs,libers
abeosv,aboves
aglssy,glassy
cehimr,chimer
cehims,chimes
chlrsu,churls
deknoz,zonked
orttuy,"trouty,tryout"
adeett,teated
aeimnr,"airmen,marine,remain"
aeimns,"amines,inseam"
aafnsu,faunas
adelvv,valved
chpssy,psychs
dehors,"hordes,horsed,rhodes,shored"
aflstu,"faults,flatus"
deehyy,heydey
deiioz,iodize
ennptu,unpent
oopprt,troppo
aeimno,anomie
degppy,gypped
dhorsu,shroud
cehimn,chemin
defnor,fonder
eeppst,steppe
aeepsx,apexes
ceinsw,winces
aejnuu,juneau
einors,"irones,noires,nosier,senior"
einorr,"ironer,renoir"
prsuyy,syrupy
aeorst,"oaters,orates"
ddenru,durned
ikmssu,kumiss
ikppru,kippur
lrrsuy,slurry
diknrs,drinks
ceefly,fleecy
ccklos,clocks
ddgmoo,dogdom
adeptt,patted
aaclps,pascal
aellst,stella
beruzz,buzzer
eoprtu,"pouter,puerto,troupe"
agglwy,waggly
aelost,osteal
dghitw,dwight
aelosv,loaves
acimno,"anomic,manioc"
aesstw,"sweats,wastes"
aakrst,karats
hknrsu,shrunk
dilmor,milord
aaclls,callas
aacppy,papacy
deilsw,wields
deilsv,devils
beeisv,bevies
deilst,"delist,idlest,listed,silted,tildes"
beeisx,ibexes
adehjs,hadjes
deilsy,yields
acimns,manics
acimnt,mantic
eefmno,foemen
adeklr,"darkle,larked"
ejmost,jetsom
eilsvw,swivel
beefil,belief
agiknw,waking
adeklt,talked
bcekno,beckon
egkmsu,muskeg
bloops,bloops
dnosuw,wounds
diilps,lipids
aekrrs,rakers
deemss,messed
eellpt,pellet
mmnosu,summon
hiottu,outhit
beijlu,jubile
aghirs,garish
deefkr,kerfed
agiknt,taking
aacipt,capita
aghirt,aright
deeegr,degree
denorv,vendor
dhimos,modish
egmoru,morgue
acinrs,cairns
aglpuy,plaguy
eiilrw,wilier
ceeoos,cooees
ilmyzz,mizzly
eiittt,tittie
adhnor,hadron
adhnos,hondas
cdhior,orchid
bhrsuy,brushy
ddeefn,"defend,fended"
hoorrr,horror
ddeefi,defied
ceooty,"coyote,oocyte"
abcemr,camber
hmoprs,morphs
almort,mortal
ccehio,"choice,echoic"
ccehil,"chicle,cliche"
aejmmr,jammer
eehlsv,"helves,shelve"
eehlst,lethes
abcemn,cabmen
ccehit,hectic
girsst,grists
aadhil,dahlia
bbeirr,"briber,ribber"
bbeirs,bribes
aehmpr,hamper
adilrs,lairds
abeins,sabine
eginow,wigeon
adhlry,hardly
adenru,unread
adilrz,lizard
adilry,aridly
acgoru,cougar
bciilm,limbic
ainpsv,spavin
aeggww,gewgaw
denpru,pruned
dellru,duller
corssu,scours
ahinst,shanti
acempr,camper
aafknt,kaftan
abdeht,bathed
aaacmr,maraca
celrsu,"lucres,ulcers"
abdehs,bashed
nosstu,snouts
defggi,figged
ehlmsw,whelms
dmrsuu,durums
hilstt,tilths
aiopst,"patios,patois"
bbdemu,bedumb
ehjops,joseph
aaginu,"guiana,iguana"
afimry,ramify
enoort,enroot
arstux,surtax
ghinty,nighty
enoors,"nooser,sooner"
deilrs,"idlers,sidler,slider"
aaclmu,macula
deilrv,drivel
deilrw,wilder
deilry,"direly,ridley"
aosstt,"stoats,toasts"
arstuu,taurus
abemnt,batmen
adekmr,marked
adekms,masked
cegnot,cogent
abemnr,barmen
eilswy,wisely
eiilrv,virile
dnostu,donuts
aegiln,"genial,linage"
agimss,sigmas
deempr,premed
ailsss,sisals
ailssv,silvas
agimst,stigma
anprsw,prawns
abemno,bemoan
abbelu,bauble
cfikls,flicks
abbels,babels
aaggqu,quagga
aeglov,lovage
deegnv,venged
deegnu,dengue
aeglor,"galore,gaoler"
deegnr,gender
acortx,oxcart
ceenrs,"censer,screen"
aabort,abator
chikst,"kitsch,shtick,thicks"
aegilo,goalie
ahistu,hiatus
ceenrt,"center,centre,recent"
elpquu,pulque
aeinrt,"retain,retina"
aikmsu,umiaks
eenrss,sneers
aacers,caesar
aehstt,thetas
bhmrsu,rhumbs
chiprs,chirps
cehist,"ethics,itches"
efllru,fuller
cehisv,chives
bchnru,brunch
acmnos,mascon
coosst,scoots
aiimpr,impair
hmoopr,morpho
aacflu,facula
giilns,isling
diorst,droits
abglmo,gambol
adegim,imaged
corrsu,cursor
giilnv,living
bblnuy,nubbly
acenrv,"carven,cavern,craven"
acenrt,"canter,centra,nectar,recant,trance"
acenrs,"caners,cranes,nacres"
giilno,oiling
giilnn,"lignin,lining"
gilnos,"losing,soling"
imorrs,morris
cdeerw,crewed
aehorx,hoaxer
gilnow,lowing
gilnov,loving
acenry,carney
gilnot,tiglon
aaefnu,faunae
dfirst,drifts
deejst,jested
aloppr,poplar
beilmn,nimble
aloppt,laptop
aiorst,"ratios,satori"
afllow,fallow
afllor,floral
bbegot,gobbet
ddiksy,skiddy
aaginn,angina
ceekrs,creeks
bcklos,blocks
gloooy,oology
bdhiry,hybrid
deejss,jessed
bckloy,blocky
ehnops,phones
ahrttw,thwart
abmoss,sambos
hhmrty,rhythm
egmnru,regnum
einnpt,tenpin
ddeott,dotted
degnsu,nudges
eejnnt,jennet
ceilss,slices
deeglr,"gelder,ledger"
ceilsv,clevis
dekorw,worked
ceilsu,sluice
aorsuv,savour
ciimms,mimics
acppry,crappy
chikny,chinky
gginno,noggin
effirs,fifers
aeimmn,ammine
aeimmm,mammie
cehint,ethnic
cehins,"chines,inches,niches"
cehinr,enrich
eenrsw,renews
adeluv,valued
dehlow,howled
aeimms,mamies
aeimmr,maimer
dgiins,siding
aflswy,sawfly
einoss,"noesis,noises"
einosv,"envois,ovines"
dehlor,holder
aimrtu,atrium
eghnru,"hunger,rehung"
cehmns,mensch
cdehit,itched
aimrtx,matrix
eenrsv,nerves
ckrsuu,ruckus
cdehis,chides
cdehir,chider
cdehim,chimed
elnpst,splent
abemrs,"ambers,breams,embars"
cdehin,"inched,niched"
abemru,umbrae
aellry,"rallye,really"
eiklnt,tinkle
abemry,ambery
aellru,"allure,laurel"
bbeers,rebbes
eloptu,tupelo
aceprt,carpet
ddefor,"fodder,forded"
elortv,revolt
bffino,boffin
egikny,keying
aorsvy,savory
ceimpu,pumice
empstt,tempts
aeeltz,"teazel,teazle"
egiknp,peking
acelss,scales
knotty,knotty
acelsv,calves
acelst,"castle,cleats,eclats"
acelsu,clause
cinort,"citron,cortin"
acelsx,calxes
enprsu,prunes
egnorv,govern
deiorw,weirdo
deiorv,"devoir,voider"
deiort,"dotier,editor,rioted,triode"
deiors,dories
abelry,"barely,barley,bleary"
abelrz,blazer
afmosu,famous
abelrt,albert
degnnu,gunned
abelrv,verbal
abelrw,"bawler,warble"
acelrw,clawer
abelrr,barrel
abelrs,"balers,blares,blears"
mrsstu,strums
deelpy,"deeply,yelped"
ddfior,fordid
eelovv,evolve
deelpr,pedler
ccdely,cycled
eehrss,sheers
acdiju,judaic
deikls,silked
deeorz,zeroed
aelmrs,realms
eelpst,pestle
aelmru,mauler
alprru,larrup
bdlmuy,dumbly
deeors,"erodes,redoes"
ghistt,tights
deostu,ousted
eeehnt,ethene
deeorv,overed
cemosy,cymose
biilrs,libris
deirtv,divert
acinst,antics
bdnooy,nobody
acinsv,vincas
elrrsu,"lurers,rulers"
abeent,beaten
egnort,tonger
aeghmo,"homage,ohmage"
aehrtt,"hatter,threat"
eqstuu,tuques
chmnuy,munchy
ffiint,tiffin
chinpy,hypnic
defizz,fizzed
abceno,beacon
dgiino,indigo
eghhir,higher
aehrty,earthy
adlluy,dually
acppsu,cuppas
immmos,momism
acmstu,muscat
aalmst,tamals
ffnoru,runoff
ahlmos,shalom
biittt,titbit
ciknss,snicks
adilnn,inland
fllouy,foully
deeltw,welted
abirrs,briars
ddeilw,widdle
ddeggi,digged
adhssu,sadhus
deimpr,primed
ddeggo,dogged
abirry,briary
ellopr,poller
ceiilt,elicit
adersw,waders
aeimnt,inmate
aderst,"daters,derats,stared,trades,treads"
adilnr,aldrin
adilns,island
ceiilx,exilic
aeopqu,opaque
agilst,gaslit
hoostt,tooths
dddeik,kidded
dgiint,tiding
ehlsxy,hexyls
dddeil,"diddle,lidded"
amnttu,mutant
dddeir,ridded
aqssuw,squaws
ffsstu,stuffs
doprsy,dropsy
aacdir,cardia
aenott,notate
celmuy,lyceum
abdett,batted
abdetu,tabued
eeegrz,geezer
dehstu,"shuted,tushed"
eoppry,popery
deikkn,kinked
adimry,myriad
eopprr,proper
gmoopr,pogrom
eeepsv,peeves
eeepsw,pewees
eeelty,eyelet
eopprt,topper
bdeklu,bulked
bceers,rebecs
ellmuv,vellum
eiimms,immies
ceimox,mexico
aknpss,spanks
eilprt,triple
acinru,uranic
acilry,racily
diostu,studio
aceltt,cattle
aaabcn,cabana
aaabcl,cabala
ckmopu,mockup
deintt,tinted
diklny,kindly
deprru,purred
degrtu,trudge
aaabcs,casaba
aallrv,larval
aimnpt,pitman
ginost,"ingots,stingo"
aimnpy,paynim
ahkoos,hookas
aenrwy,yawner
nnoruw,unworn
ginoss,gnosis
ahpsst,staphs
aacjls,jacals
efmrru,ferrum
cginor,coring
cginos,"coigns,cosign"
cginop,coping
anoswy,noways
cginov,coving
cginow,cowing
beeryz,breezy
cddetu,"deduct,ducted"
admnoy,"dynamo,monday"
ehllru,huller
cginoo,cooing
admnos,"damson,monads,nomads"
aacetv,"caveat,vacate"
abosst,"boasts,sabots"
abosss,bassos
eehirr,rehire
deorsw,"dowers,dowser,drowse"
giloos,"igloos,isolog"
deorsu,"douser,roused,soured"
abilno,albino
deorss,"dosers,dosser"
adeikr,darkie
chhoot,hootch
boosst,boosts
fgiinw,wifing
dfnosu,founds
deorsz,dozers
aenrsw,answer
aenrsv,ravens
aenrst,"astern,sterna"
aenrss,snares
iinttu,intuit
cfistu,fustic
iinttw,nitwit
aacetx,exacta
oorrsw,sorrow
abilns,blains
allsty,lastly
eilmrs,"milers,smiler"
eilmru,mulier
enrvwy,wyvern
bnoost,boston
hkoopu,hookup
eilnrt,linter
cerswy,screwy
ehmssu,mushes
bdeort,debtor
prssuy,syrups
defkor,forked
defrsu,surfed
einstv,invest
einstu,"unites,unties"
flrsuu,sulfur
eortwy,towery
achlry,archly
cekrtu,tucker
bbdino,dobbin
ammmos,mommas
eiorrs,rosier
agllpu,gallup
ademsu,"amused,medusa"
ahilyz,hazily
egglor,logger
defoor,"foredo,roofed"
eefrrs,"freres,refers"
defoot,footed
defoow,woofed
aefjnt,fanjet
deinos,"edison,noised,onside"
adginz,dazing
bbdinu,dubbin
ahhoor,hoorah
cejnou,jounce
aefrtw,wafter
aefrtt,fatter
aepsss,passes
aepsst,"pastes,spates,stapes"
aellsy,alleys
aclosv,vocals
cfhilt,flitch
ehhssu,hushes
ddeinr,"ridden,rinded"
aaklos,koalas
cfhiln,flinch
adelpy,played
acllmy,calmly
eoqrtu,"quoter,torque"
aeiqtu,quieta
aopprx,approx
effiir,iffier
adelpp,"dapple,lapped"
cehiky,hickey
adelpr,pedlar
adelps,"lapsed,pedals,pleads"
adelpt,plated
adelpw,dewlap
chistt,stitch
chistw,switch
chiosy,coyish
chiosz,schizo
beinno,bonnie
aadlss,salads
hllsuy,lushly
aehprs,"phaser,phrase,seraph,shaper,sherpa"
egmnor,monger
bellow,bellow
beinnz,benzin
bellou,lobule
aacert,carate
iloops,polios
defopu,poufed
cehmsu,muches
eoprtx,export
eoprty,poetry
aenqsu,queans
abckpu,backup
eprstu,"erupts,purest"
acilmx,climax
fimnor,inform
adgirv,gravid
iknnsy,skinny
deenor,redone
bdeffi,biffed
acilms,claims
bdeffu,buffed
abeirt,"baiter,barite,rebait"
abeirs,"braise,rabies,serbia"
agrsuy,sugary
aeemrr,reamer
aeemrs,"ameers,seamer"
agrsuu,augurs
hirsty,shirty
aeemrt,teamer
abeirz,braize
adiinn,indian
egilst,legits
egilsu,guiles
addgin,adding
hmorsu,humors
acegny,agency
acoprs,copras
ablost,bloats
abdell,balled
abdelm,"ambled,bedlam,beldam,blamed,lambed"
acoprt,"captor,cartop"
hlopss,splosh
abdelr,"balder,blared"
abdels,blades
abdelt,tabled
abdelw,bawled
agikmn,making
gortuy,"grouty,yogurt"
addgip,giddap
ddemru,mudder
eeortv,vetoer
ceelry,celery
ehilsw,whiles
ehilsv,elvish
bbnosy,snobby
eklrsu,sulker
adelmu,mauled
adelmt,malted
adelms,"damsel,lameds,medals"
adelmr,"dermal,marled"
abdilr,"bridal,ribald"
adelmp,"lamped,palmed"
adelmo,loamed
adelmm,lammed
ddeemn,mended
dghist,dights
lmmsuy,slummy
afimny,infamy
eeiprr,pierre
aaerrt,errata
enntuy,tunney
aaerrr,arrear
adehms,"mashed,shamed"
adehmr,harmed
beffou,bouffe
eoprsv,proves
cdeopu,couped
aeppry,"papery,prepay,yapper"
adehmm,hammed
eillnt,"lentil,lintel"
eeopru,europe
aeppru,pauper
emnors,sermon
emnort,mentor
agjlmo,logjam
aepprs,"papers,sapper"
bbbhuu,hubbub
cfilor,frolic
aahiiw,hawaii
enosvy,envoys
aahiis,isaiah
ddeiks,disked
almtuu,"mutual,umlaut"
akosty,tokays
bceekz,zebeck
eeghot,goethe
mpstuu,sputum
mpstuy,stumpy
floptu,"potful,topful"
cehnrw,wrench
coprty,crypto
aacktt,attack
addegr,"gadder,graded"
cdeinu,induce
ellosy,solely
eelpry,yelper
eelprt,"pelter,petrel"
hilrwy,whirly
aefgor,forage
eelprs,"lepers,repels"
deffhu,huffed
emmsty,stemmy
bcikrs,bricks
elppru,"pulper,purple"
defhis,fished
addego,goaded
ccikls,clicks
afilry,fairly
bceequ,quebec
bcelou,boucle
eghhit,"eighth,height"
adimno,"daimon,domain"
bcelor,corbel
abbgry,grabby
abrssu,bursas
bbdeir,"bribed,dibber,ribbed"
bejjuu,jujube
bbdein,nibbed
bbdeil,"dibble,libbed"
eirtvy,verity
bbdeij,jibbed
ehikss,sheiks
eehmnt,menthe
adeklw,walked
aflors,floras
eoqstu,"quotes,toques"
adeegr,"agreed,geared"
adimnt,"damnit,mantid"
agilnz,lazing
aaelmt,tamale
efimrr,firmer
agnnry,granny
ddeeis,eddies
dhilos,oldish
ekmosy,smokey
ilmotu,ultimo
aiprsw,ripsaw
beostu,obtuse
beostw,bestow
gnopsy,spongy
afilrs,"flairs,frails"
beeory,obeyer
cekpru,pucker
ddeeit,"dieted,edited"
deijlt,jilted
egirst,tigers
certtu,cutter
aeprrw,"prewar,rewrap,warper"
aeipst,pietas
alrsty,stylar
aglors,"argols,gorals,largos"
eeerrv,revere
accitt,"tactic,tictac"
egirsv,givers
aeipss,sepias
flosty,softly
dnortu,"rotund,untrod"
aeggnr,"ganger,grange,nagger"
aeggns,ganges
aeinrz,zanier
ehllsy,shelly
ginsty,stingy
ehllss,shells
dhijtu,judith
bdilsu,builds
deorru,"dourer,ordure"
deorrv,drover
adeilr,"derail,dialer,laired,railed"
aabggr,ragbag
adeilt,"detail,dilate,tailed"
adeilw,wailed
deorrs,orders
fgilny,flying
ahkrss,sharks
eeijnn,jinnee
iottuw,outwit
borstu,"robust,turbos"
egprsu,"purges,spurge"
deinrw,"rewind,winder"
abgilm,gimbal
dhiips,hispid
abgiln,baling
aalrsu,lauras
aalrst,"altars,astral,tarsal"
bfltuu,tubful
aalrsv,larvas
aalrsy,salary
giltyz,glitzy
deknoy,donkey
aalrsz,lazars
adeilm,"mailed,medial"
adeill,allied
adeilo,eidola
adeiln,"alined,daniel,denial,nailed"
adhior,hairdo
efilry,rifely
cffssu,scuffs
aenort,"atoner,ornate"
giiknv,viking
deegks,kedges
egijnw,jewing
eeirsz,seizer
ceiltu,lucite
eersty,yester
eeirsv,revise
cinooz,ozonic
egmntu,nutmeg
cimopy,myopic
celmop,compel
eensst,tenses
aeprry,prayer
aaggrt,ragtag
ceenor,encore
achrst,"charts,starch"
enoptt,potent
cceehr,creche
amostz,matzos
eirstz,ritzes
mnorsu,mourns
aahjrs,rajahs
cdertu,truced
cdorsw,crowds
ellorw,orwell
efllow,fellow
deffim,miffed
deffir,"differ,riffed"
aefgln,flange
deffit,tiffed
egimrs,grimes
eglnty,gently
elppsu,supple
aginwx,waxing
aginwy,yawing
ggiinp,piggin
hirstt,thirst
ggiinv,giving
bciino,bionic
aehktt,taketh
dgosty,stodgy
aefrwy,wafery
ailmuv,valium
deimtu,tedium
dehpsu,pushed
achosv,havocs
aglnsy,slangy
aachkw,kwacha
aaaknr,ankara
bciinu,incubi
ehilmu,helium
bdeglu,"bugled,bulged"
bemory,embryo
mnoors,morons
ikqrsu,quirks
ceejst,ejects
fgirst,grifts
acrstt,tracts
bemors,"ombres,somber,sombre"
accdee,accede
ceginu,cueing
ceginr,cringe
adhnnu,unhand
bdeors,sorbed
eppstu,stepup
cdehos,coshed
bdeglo,"bogled,globed"
cdehow,chowed
cdehou,douche
