acelprt,plectra
cceinos,concise
bdhiosu,bushido
cceinot,conceit
acehlst,"chalets,latches,satchel"
aefinpr,firepan
acehlss,clashes
aeeggsw,geegaws
aekpssy,passkey
aillnpy,plainly
cdeersu,"recused,reduces,rescued,secured,seducer"
cdeerst,crested
aaeefgl,leafage
bekorrs,brokers
aafghin,afghani
acelosv,"alcoves,coevals"
acelost,"lactose,locates"
adhlllo,holdall
aceloss,solaces
hiilpty,pithily
hinosst,stonish
imoosss,osmosis
acdeetx,exacted
aegillo,galileo
aegillm,millage
beeeefr,freebee
beprtuy,puberty
cegnost,congest
deorsuv,devours
aeeegpr,peerage
cdeimsu,miscued
foorttx,foxtrot
aceillx,lexical
aegilly,agilely
aegillv,village
beerttu,burette
aceilll,allelic
aegills,gallies
aeefrtu,feature
deerttu,uttered
abeghor,begorah
adeffix,affixed
hinpssu,unships
adeffir,daffier
alopsst,postals
dloorsu,dolours
ffinopt,pontiff
eelosst,toeless
deisttw,twisted
dimnopu,impound
eloortt,"rootlet,tootler"
biklluy,bulkily
adiirty,aridity
aaiinnr,iranian
eflntuu,tuneful
aaegmss,massage
eesttzz,tzetzes
efinnsu,funnies
binnosu,bunions
enopsst,stepson
dnoptuw,putdown
abbdgin,dabbing
eeeilst,"eeliest,steelie"
ginottw,wotting
cceelry,recycle
adenost,donates
aeiprtv,private
adersvw,dwarves
ceemopr,"compeer,compere"
ceeopty,ecotype
acellst,callets
bdinnou,inbound
dgilmno,molding
aaceinr,carinae
bioprty,probity
eilmrry,merrily
aimnnos,"amnions,mansion,onanism"
ccdehin,cinched
ccdehil,cliched
dimnoos,dominos
dhorsuy,hydrous
cdinstu,inducts
cgiikln,licking
aeflpry,palfrey
cehoops,pooches
aeffgrs,gaffers
egiinrv,reiving
deiosuv,devious
bbehios,hobbies
aaeiptt,apatite
deoprsw,powders
deoprst,"deports,sported"
fillotu,toilful
aloqstu,loquats
eijllos,jollies
aeilnsy,elysian
eilrssv,"silvers,slivers"
eilrsst,"listers,relists"
abegopy,pageboy
defflsu,"duffels,duffles"
filstuy,fustily
aeilnss,salines
eeehlln,hellene
ejlosst,jostles
fimoorv,oviform
aeorrrs,roarers
abblmry,brambly
ejlossy,joyless
eeiopst,poetise
efikrrs,frisker
giinort,rioting
ailotvy,ovality
giinors,"origins,signori"
aabeffl,affable
adeehmn,headmen
ccdeimo,comedic
elmopry,polymer
chinops,"chopins,phonics"
fgiintt,fitting
eikrrss,riskers
defirrt,drifter
egillsu,gullies
aeflmor,femoral
ceikopr,pockier
himotty,timothy
illppuy,pulpily
egortuw,outgrew
bcehnsu,bunches
eknosuy,unyokes
cdmnoos,condoms
ceefhrt,fetcher
aegilrz,glazier
efhrrtu,further
aclrswy,scrawly
bdeilny,bylined
aejprsy,jaspery
eegrstu,gesture
eegrstt,getters
ceeimrs,mercies
eegrsty,greyest
aejprss,jaspers
elnoosu,unloose
ehoorst,"hooters,shooter,soother"
elnoosw,woolens
elnooss,loosens
eeimmrs,immerse
aghnotu,hangout
addeiov,avoided
addeiot,toadied
addeior,radioed
efiirzz,fizzier
aaeknsw,awakens
dooprtu,dropout
admoort,doormat
efilopr,profile
admoory,dayroom
acceert,accrete
lnnopsu,nonplus
acdeklt,tackled
mnoopps,pompons
cehnpru,puncher
adegglr,"draggle,gargled"
adegglw,waggled
aemprrw,prewarm
acdeklo,cloaked
acdekln,clanked
degghos,shogged
nnoostw,wontons
agijnrr,jarring
egmorsu,morgues
cdfhios,codfish
deiimrt,timider
aeeilnt,lineate
aeeilnr,aliener
emnoost,moonset
eeorstt,rosette
abcersu,subrace
mnoorsu,sunroom
eeorstv,vetoers
abeilms,lambies
abeilmr,balmier
eeirrrt,"retirer,terrier"
abeilmt,"bimetal,timbale"
abeilmy,beamily
abeilmx,mixable
beijlsu,jubiles
ehlrrsu,hurlers
aaaenst,anatase
beflmsu,fumbles
aefflrs,"farfels,raffles"
bchnoor,broncho
eeegils,"elegies,elegise"
befilsu,fusible
ddemnot,oddment
ddemnou,mounded
abeqrsu,barques
cdehipt,pitched
cdehipr,chirped
cehntuy,chutney
cdehipp,chipped
eeorsst,stereos
aciikrs,airsick
cdhiist,distich
abeinst,basinet
aadegry,"drayage,yardage"
bgimmnu,bumming
aadegrt,gradate
dginoow,wooding
cdeinot,noticed
cdeinos,codeins
aafhlwy,halfway
efnortu,fortune
achnrty,chantry
adirssv,visards
degisst,digests
degissu,gussied
abcdilr,baldric
deilmop,implode
eeklstt,kettles
ceoopry,coopery
aacfnst,caftans
eemorrv,remover
ceooprs,"coopers,scooper"
hmnopsy,nymphos
celrsuw,curlews
celrsuv,culvers
abdehrt,breadth
abfhlsu,bashful
acdhlor,chordal
aailmss,salamis
addeilt,dilated
aimnsvy,mayvins
definrs,"finders,friends"
aacdhmr,drachma
aelnrrs,snarler
degluzz,guzzled
aeelnst,"lateens,leanest"
aeelnsv,"enslave,leavens"
abggily,baggily
eegmnst,segment
ehilttw,whittle
ceiklty,lickety
acllops,scallop
eiklnpr,plinker
deiorst,"editors,sortied,steroid,storied,triodes"
deiorsw,"dowries,rowdies,weirdos"
deiorsv,"devisor,devoirs,visored,voiders"
deiorss,dossier
achnstu,"canthus,staunch"
deekmns,deskmen
defgior,firedog
abceint,cabinet
ffioprs,ripoffs
aelsswy,wayless
adddens,addends
defklnu,flunked
ahmoswy,haymows
aaglnru,angular
allmoss,slaloms
belsstu,"bustles,sublets"
eggginp,pegging
allmosw,mallows
aeehnps,peahens
addefru,defraud
aeilmrs,"mailers,realism,remails"
abeqssu,basques
effssuu,suffuse
ekorrsy,yorkers
aeemqru,marquee
abceirs,"ascribe,caribes"
abdinst,bandits
abbdnox,bandbox
deiknns,skinned
ekorrsw,"reworks,workers"
aceorsx,coaxers
abeilst,"bestial,stabile"
deinpst,stipend
eeenrsv,"eveners,veneers"
eforrsv,fervors
eeenrst,"entrees,teeners"
eeenrss,serenes
ekorsst,"stokers,strokes"
aeeervw,reweave
aginrzz,razzing
eeenrsz,sneezer
aaacijm,jamaica
aaaklss,alaskas
ciknptu,nutpick
mmsuuuu,muumuus
eeerstv,everest
bdiistt,tidbits
ahlloty,"loathly,tallyho"
aabllst,ballast
eeerstt,teeters
aefglmn,flagmen
egilrzz,grizzle
aadessy,assayed
cenoqru,conquer
abgmnoy,bogyman
aeiorsv,ovaries
aemoosv,vamoose
aaeilss,aliases
ddeeelt,deleted
abemnsu,sunbeam
abemnst,batsmen
aceorsu,"acerous,carouse"
aefmors,foamers
aefmorr,forearm
bcciluy,cubicly
aalmnoy,anomaly
eeikttt,tektite
ddeimru,muddier
cegorsu,scourge
aeioprs,soapier
deehorv,hovered
efhllpu,helpful
cciilot,colitic
deeehwz,wheezed
aflnstu,flaunts
cehmors,chromes
ceoprru,procure
ddenosu,sounded
ceiknss,sickens
llorsst,strolls
deeelst,"deletes,sleeted,steeled"
ilnostt,stilton
aipprrs,ripraps
deimptu,imputed
ghinott,"hotting,tonight"
adellmu,medulla
abeelsu,useable
abeelst,beatles
ddddeil,diddled
aaeemnt,"emanate,manatee"
bgiorty,bigotry
diorrst,stridor
abillmy,balmily
abcloox,coalbox
cehillr,chiller
delnoos,noodles
efijlor,frijole
aaaclmn,almanac
aaaclmr,calamar
giimnpp,pimping
giimnps,impings
giimnpr,priming
aderstt,"started,tetrads"
aadmnry,"drayman,yardman"
aderstv,"adverts,starved"
abegorx,gearbox
diikkns,kidskin
efllruy,fullery
eefhrst,"freshet,hefters"
abegors,borages
abegorr,begorra
aeinrtt,"iterant,nattier,nitrate,tertian"
ceffior,officer
beinorw,brownie
bblstuy,stubbly
cenortu,"cornute,counter,recount,trounce"
cenortv,convert
abrrsuy,bursary
aaillpp,papilla
eioprrs,prosier
eioprrt,pierrot
ddelpsu,puddles
adejntu,jaunted
delnssu,dulness
bbbeory,bobbery
erssstu,"russets,trusses"
cefiior,orifice
adlmnos,almonds
bbbeors,bobbers
abgnors,brogans
egginsu,seguing
ffnorsu,runoffs
adefory,forayed
adnpstu,"dustpan,standup"
aimrstu,atriums
cinnotu,unction
adefors,fedoras
adelstt,slatted
adelstu,"auldest,saluted"
adeforv,favored
ciimstv,victims
efmnost,foments
ablloru,lobular
begnoos,bongoes
adilpvy,vapidly
ceikmsy,mickeys
beelnot,bonelet
almnoop,lampoon
aegimos,imagoes
aeghmor,homager
aeghmos,"homages,ohmages"
hillrsy,shrilly
bbhrsuy,shrubby
chisttu,chutist
hillrst,thrills
lmrstuu,lustrum
celnoos,"colones,console"
eglopss,gospels
ceersux,excuser
aeilmnr,"manlier,marline,mineral"
cdegors,codgers
dgiinty,"dignity,tidying"
mopsssu,possums
ekppsuu,seppuku
efgilru,gulfier
aaafrwy,faraway
aiinnty,inanity
aehimst,atheism
enoprst,postern
effipru,puffier
enoprss,persons
acnrrtu,currant
aehimss,"mashies,messiah"
cdipssu,cuspids
ddeiioz,iodized
ddeiiox,dioxide
abeiotv,obviate
ddeiios,iodides
abeortt,"abettor,taboret"
hilmpsu,lumpish
adelrsu,lauders
adelrss,rassled
deiorww,widower
fgjlsuu,"jugfuls,jugsful"
ahilsst,saltish
acehllt,hellcat
aginnnt,tanning
cellrru,cruller
aiilntu,nautili
ejkmnnu,junkmen
eginntt,"netting,tenting"
eginntv,venting
eghilmn,helming
aiilnty,anility
aacikll,alkalic
aginnnp,panning
cehimst,chemist
innoost,notions
eilopsv,plosive
eilopst,pistole
beeillr,libeler
beeills,bellies
aaeepps,appease
aelrstw,"wastrel,wrastle"
adeegrr,regrade
aaciklr,clarkia
bfinosw,bowfins
illmpuy,lumpily
cdekors,dockers
ciinoot,coition
adillry,lairdly
eeffnos,offense
deehmux,exhumed
aeinpss,"pansies,sapiens"
aeinpst,"panties,sapient,spinate"
cdeoopp,copepod
cdeoops,scooped
ikmsstu,muskits
ccdehou,couched
aceeeps,escapee
eeklluu,ukulele
agginnu,unaging
aefrrst,"rafters,strafer"
aeoopps,papoose
aoprrst,"parrots,raptors"
aoprrsu,uproars
aoprrsw,sparrow
acegkor,corkage
acgilno,coaling
acgilnn,lancing
ceiijru,juicier
acgilnw,clawing
acgilnv,calving
acgilnt,catling
acgilns,"lacings,scaling"
dllorwy,worldly
acgilnp,placing
aaacenp,panacea
acgilny,claying
dillmsu,mudsill
addeemn,amended
aaemnpp,pampean
ggiprsy,spriggy
eflostu,foulest
eehprss,spheres
acilpst,plastic
eilmmrs,slimmer
beilrtu,rebuilt
beilrtt,brittle
cdghiin,chiding
ehlsssu,slushes
beilrty,liberty
addeemr,dreamed
emnortv,vermont
aiilorv,ravioli
emnortt,torment
emnortu,"mounter,remount"
agiknos,soaking
abcelov,vocable
ccekort,crocket
begiilr,bilgier
ccekors,cockers
degipsy,gypsied
eiilmrt,limiter
acdhimr,dharmic
ehllrsu,hullers
amnoott,ottoman
emmrrsu,rummers
eilrsuv,surveil
defflmu,muffled
denoops,"snooped,spooned"
eimnssu,minuses
ellpsuy,pulleys
fgiinsy,signify
abeeors,aerobes
cdgiins,discing
ellpsuw,"upswell,upwells"
aeeilrs,realise
aeeilrr,earlier
afistuv,fauvist
aeeilrv,"leavier,vealier"
aeeilrt,atelier
cemnstu,centums
aahhnpt,naphtha
aiossyz,zoysias
eflrttu,flutter
eeffssu,effuses
aehlsss,"ashless,hassels,hassles,slashes"
aehlsst,hatless
abclnsu,subclan
adegnow,wagoned
eeprsuv,prevues
adegnor,groaned
enprrsu,"pruners,spurner"
demnost,endmost
eimqtuz,mezquit
eklnrsu,lunkers
fgginoo,goofing
aeghiss,geishas
aceiptv,captive
ceorrss,"crosser,recross,scorers"
ceorrsw,crowers
ceorrsu,"courser,scourer"
aeflppr,flapper
ceorrsy,sorcery
aaerrst,erratas
acehopr,poacher
cfiimno,omnific
abcelmo,cembalo
abcelms,becalms
abcelmr,clamber
airstvy,varsity
abilnsy,libyans
bdeirrs,birders
bdginno,bonding
eeiintv,invitee
eiqruzz,quizzer
eipsssu,pussies
eeirsvv,revives
kooprtw,topwork
dhinssy,shindys
adirswz,wizards
enoosst,soonest
cdeinsu,induces
afittuy,fatuity
eikmssu,muskies
eikmsst,kismets
agimnrs,"armings,margins"
agimnrr,marring
acehiny,hyaenic
aaderrw,awarder
agimnrw,warming
agimnrt,"marting,migrant"
acehins,chaines
costtuu,cutouts
adeehrs,"adheres,headers,hearsed,sheared"
adeehrt,"earthed,hearted"
aaderry,arrayed
ceeirtx,exciter
cnoorst,consort
ikmoost,mistook
acehinn,enchain
adeefhs,sheafed
aacefis,fasciae
egisssu,gussies
aeeikpr,peakier
aemrtty,mattery
ginorsw,rowings
ginorsv,rovings
ailnnot,antlion
ginorss,signors
ceiimot,meiotic
aaehimn,anaheim
aafgorr,farrago
ginorsy,signory
aiknnns,nankins
beefory,forebye
aeiknst,intakes
eehoost,toeshoe
ainrrty,trinary
efhlsty,thyself
adeenst,standee
aflprty,flytrap
addfims,faddism
eiklntw,twinkle
eiklntu,nutlike
aggisww,wigwags
ailmpsy,misplay
aaccllo,cloacal
acdiott,tactoid
aaitwxy,taxiway
ailmpst,palmist
abciimn,minicab
eopsstx,sexpots
ddgooow,dogwood
abchosx,cashbox
eeegnrv,revenge
chilsuy,cushily
cemostu,costume
eeegnrs,reneges
eeegnrr,"greener,reneger"
acloryz,coryzal
ailrrvy,rivalry
cefrsuw,curfews
ailprss,spirals
aaddrst,dastard
ciknosw,cowskin
behiotw,howbeit
aegntyz,yangtze
abehlms,shamble
himortu,thorium
dfginor,fording
eimmstu,tummies
dfginou,fungoid
coprsuu,cuprous
eiqrstu,querist
bcdemru,crumbed
eeimsst,semites
chimsty,chymist
ehiswzz,whizzes
ailstuw,lawsuit
aklrsvy,valkyrs
ceehrsw,chewers
ceehrsu,euchres
ceehrst,"etchers,retches"
aillsuz,lazulis
aefirtt,fattier
deeilps,"speiled,spieled"
eehlmst,helmets
aelmnss,manless
aeghinr,hearing
ahimtvz,mitzvah
aeghinp,heaping
aginwwx,waxwing
aeghinv,heaving
aelmnst,"laments,mantels,mantles"
aacdetv,vacated
agiklnr,larking
eiirstw,wiriest
eiirstv,"revisit,visiter"
eiimssv,missive
eiimsst,stimies
eiimsss,missies
afiilor,airfoil
beegimr,begrime
aacderv,cadaver
aacders,arcades
addgmno,goddamn
cdehiiv,chivied
dgiinss,sidings
cikmstu,stickum
eimorsu,mousier
elmmops,pommels
eginrty,retying
aaiintt,titania
ceehkls,heckles
ceehklr,heckler
ceelmnt,clement
afghirs,garfish
aeeegnt,teenage
cciprty,cryptic
acciint,actinic
aceehnp,cheapen
aceehns,achenes
deimnps,impends
adelmos,damosel
adelmor,earldom
aceehnn,enhance
acennsu,nuances
cddeeru,reduced
egrrsuy,surgery
efillst,fillets
cefinno,confine
aekswyy,keyways
aceinrt,certain
ddiilop,diploid
ehrrstu,hurters
egimnss,messing
cchhiny,chinchy
egiilnt,lignite
abdehil,hidable
aadgghr,haggard
abfglsu,"bagfuls,bagsful"
egiilnr,lingier
ghimmnu,humming
ginoort,rooting
deeissv,devises
egiilnx,exiling
acdjntu,adjunct
cciostt,tictocs
bbcelru,clubber
iknopst,inkpots
acehprs,parches
acehprt,"chapter,patcher"
eepsstt,septets
adeekns,sneaked
adeeknr,"kneader,nakeder"
eehkloy,keyhole
adeeknp,kneepad
adeeknw,wakened
aeilrst,"realist,retails,saltier,slatier,tailers"
aeilrsw,wailers
aeilrsv,revisal
aghimmn,hamming
aceklrs,"calkers,lackers,slacker"
egilmnt,melting
cdehlnu,lunched
adllnoy,nodally
aennory,annoyer
cdehlny,lynched
bbgimno,"bombing,mobbing"
dellstu,dullest
bbginru,rubbing
dehlors,holders
dehlorw,whorled
kloootu,"lookout,outlook"
eklmmsu,kummels
ehprsyz,zephyrs
dehnosy,hoydens
beorstv,obverts
egoosst,stooges
beorstt,bettors
beorstu,obtuser
aahmstz,matzahs
aehmpty,empathy
dflooru,odorful
ehimrsu,mushier
ehimrst,hermits
abdorss,adsorbs
aeggirs,saggier
aegiill,galilei
cdeeknr,redneck
abdorsy,byroads
bcjkmuu,jumbuck
ademttu,mutated
bceiklm,limbeck
afllpsu,lapfuls
aefgitu,fatigue
fffilot,liftoff
aeemrss,seamers
cioprst,tropics
aeemrst,steamer
aeemrsu,measure
aacchir,archaic
eiprrsz,prizers
fhhlsuu,hushful
elpstuu,pustule
eefrrst,ferrets
bceiklr,brickle
aairssy,assyria
adeirrv,arrived
adeirrt,"tardier,tarried"
defirtu,fruited
adeirrs,raiders
cfinory,cornify
efhlrsy,freshly
dfnnooo,nonfood
ccnootu,coconut
ceiimpr,empiric
egijnst,jesting
aeltuvv,vulvate
fiiknrs,firkins
bdeimnr,birdmen
beiqssu,bisques
eelnrtt,nettler
efpstuy,stupefy
aeirwwy,wireway
acehrsw,chawers
aefinst,fainest
aefinsw,fanwise
acehrst,"archest,chaster,rachets"
acehrss,"cashers,chasers,crashes"
efimrst,firmest
deeemrs,redeems
aehmmsy,mayhems
eflnssu,fulness
adeegot,goateed
cnoostt,cottons
acehrsx,exarchs
begoors,"boogers,goobers"
abbdest,stabbed
ehilrrw,whirler
adginpr,draping
ghoopst,photogs
adginpp,dapping
cdemopt,compted
eelnsss,lessens
aciptuy,paucity
abbdesw,swabbed
ceimrst,metrics
ceimrsu,ceriums
befiors,fibrose
befiorx,firebox
amrrsty,martyrs
aersswy,"sawyers,swayers"
ennosst,sonnets
cglnosu,unclogs
aabceln,balance
aaeertw,teaware
cloorsu,colours
emoostw,twosome
diillvy,lividly
gnostuu,outguns
beeeftw,webfeet
eflorst,"florets,lofters"
eflorsu,ourself
eflorsw,"flowers,fowlers,reflows,wolfers"
eflorsx,flexors
aegimps,magpies
aekorss,soakers
aabcelt,actable
addentu,"daunted,undated"
emsssty,systems
eelqssu,sequels
aahlpst,"asphalt,spathal"
gimnowy,wyoming
cfmnoor,conform
acdddei,caddied
cceioss,ciscoes
eeipppr,"peppier,preppie"
mmrrsuu,murmurs
admorst,"stardom,tsardom"
aachrrt,catarrh
aaefirr,airfare
aaceett,acetate
eeeilrv,relieve
egilsst,legists
cehiotv,cheviot
abeklnt,blanket
fiklnsu,skinful
eeefrrz,freezer
abeklnr,blanker
bdelnos,blondes
bdelnor,blonder
ahikmrs,kashmir
beisstu,busiest
adegjln,jangled
ceehmrs,"schemer,schmeer"
ainosux,anxious
eerstuv,vesture
beilsss,blisses
bgiknnu,bunking
aglnoss,slogans
abeggir,baggier
abeggis,baggies
cdoprtu,product
egnnort,rontgen
gilnoss,losings
gilnosu,lousing
loppsuy,polypus
gilnosw,"lowings,slowing"
gilnosv,solving
cddeinu,induced
ceilors,"coilers,recoils"
aadgmot,dogmata
egmmort,grommet
abllluy,lullaby
egiloos,ologies
aehmrss,"marshes,mashers,smasher"
eilssty,stylise
eorsttx,extorts
eooppss,opposes
aehmrst,hamster
eemprst,tempers
deimmpr,primmed
adillty,tidally
eorsttt,"stretto,totters"
eorsttu,"stouter,touters"
deiinrw,windier
ehimpru,humpier
fgimosy,fogyism
cdeoorr,corrode
elloswy,yellows
afhloos,loofahs
emnoppr,propmen
gikknuy,yukking
afgostu,fugatos
aeiimtt,imitate
censsty,encysts
ehmssuu,humuses
aciknst,catkins
beehosv,behoves
efilmrs,refilms
bdmooss,bossdom
dekllsu,skulled
aaddosu,aoudads
aeimopr,emporia
dddehlu,huddled
ceeeelt,electee
aahprtw,warpath
aaisttv,atavist
bbdeirs,dibbers
aimmmux,maximum
beilrru,burlier
beeloty,eyebolt
ailmstu,ultimas
bcejost,objects
bdeorrs,borders
hioprsw,worship
deoprwy,powdery
aadknot,dakotan
efforst,efforts
aiikksw,wakikis
ccekopt,petcock
aeeglnt,elegant
acginrs,"racings,scaring"
cgilnru,curling
acginrt,"carting,crating,tracing"
aeeglns,"angeles,senegal"
aeeglnr,"enlarge,general,gleaner"
aehiksw,"hawkies,weakish"
effillu,lifeful
acginrz,crazing
deehrrs,herders
anorssv,sovrans
eeeknrs,keeners
efflosu,souffle
ellrssu,russell
beenost,boneset
aclnosx,claxons
abefgst,gabfest
bclmooo,colombo
amorssy,morassy
eimopst,mopiest
deimntu,minuted
eelqruy,queerly
eimopss,imposes
aceirsz,crazies
aceirst,"raciest,stearic"
aceirsu,saucier
beggist,biggest
beggisu,buggies
bcinoor,boronic
ffhostu,shutoff
aehmsss,smashes
agimnor,roaming
ccefnot,confect
agimnot,moating
ckoootu,cookout
aenrswy,yawners
bclmoou,coulomb
adegghl,haggled
airsttz,tzarist
iillnst,instill
ceeirss,cerises
ceeirst,"cerites,recites,tierces"
aaeillx,axillae
ceeirsv,service
delmoru,moulder
aeiilrs,israeli
aikorst,troikas
degmssu,smudges
eeijlls,jellies
dioprst,"disport,torpids,tripods"
acelrss,"carless,classer,scalers,scleras"
deefstt,deftest
bbceior,cobbier
abellov,lovable
acinoss,"caisson,casinos,cassino"
acimnru,cranium
cdeilpp,clipped
gillnop,polling
cdeilps,spliced
aaelnns,anneals
cnoosvy,convoys
ceeeflr,fleecer
gimnpsu,"impugns,spuming"
iiopsty,piosity
adginrt,"darting,trading"
eilorrs,lorries
adginrw,"drawing,warding"
dlmosuu,modulus
aagmrsy,"magyars,margays"
adginrs,darings
deelstt,settled
deiortt,"detroit,dottier"
afglluy,fugally
adginry,"draying,yarding"
efgimnt,figment
ddeeptu,deputed
adhhmos,shahdom
aaegntw,wantage
clnoort,control
adllopr,pollard
aahlprs,phrasal
eiimmsx,immixes
aabelsy,sayable
eeijmms,jemmies
abbccko,babcock
aabelst,ablates
aadlmno,monadal
aeefotv,foveate
biknssu,buskins
acdenry,ardency
aadlmnu,ladanum
iiklmry,mirkily
acdenrs,dancers
abbimno,bambino
eefgllu,gleeful
acdenrt,tranced
abhikst,bhaktis
aelnrtv,ventral
aelnrtu,"naturel,neutral"
eghmmos,megohms
achlmsz,schmalz
abdilot,tabloid
deeopxy,epoxyed
abdiloo,diabolo
beerssu,rebuses
biimnsu,minibus
blmooss,blossom
egggiln,legging
eeflntu,teenful
aeefirs,faeries
adddelp,paddled
adddels,saddled
adddelr,raddled
aabmnst,"bantams,batsman"
adddelw,"dawdled,waddled"
gginoru,"roguing,rouging"
admrstu,mustard
adddeln,dandled
ceilllu,lucille
aeehnrt,"earthen,hearten,teheran"
egggilr,giggler
akmprsu,markups
acefnru,furnace
abehrss,"bashers,brashes"
eiknnrs,skinner
aaceflu,faculae
egnostu,tongues
behoprt,potherb
gginors,gringos
deiopss,dispose
eeeirsv,veeries
deiopsu,oedipus
deiopst,"deposit,dopiest,posited,topside"
aejlssw,jawless
afiknrt,ratfink
addemop,pomaded
cnortuy,country
abeglrr,garbler
eiiklms,mislike
abehimo,bohemia
accehru,chaucer
accehrt,catcher
dfhilsu,dishful
bdegirs,bridges
egilnvy,levying
coopstu,"copouts,octopus"
aaklmry,malarky
eoosssu,osseous
ehrssty,shyster
adehkrs,sharked
aabbegn,beanbag
eilrsvy,silvery
ilppstu,pulpits
addelyz,dazedly
bllntuy,bluntly
eginnrv,nerving
eghinos,shoeing
eginnrt,renting
diknnos,nonskid
eginnrr,grinner
aadlopy,payload
einptty,tintype
knooptt,topknot
deehrsu,ushered
aarrstt,tartars
eeiknwy,eyewink
aekrrst,starker
deehrsw,shrewed
efilrst,"filters,lifters,stifler,trifles"
eeorsxx,xeroxes
aegorvy,voyager
acemnor,romance
aegiknt,takeing
egiills,gillies
agiorsv,viragos
eefhlrs,"flesher,herself"
elmmpsu,pummels
bdelors,bordels
eefhort,thereof
eeoprsx,exposer
bdelorw,"bowlder,lowbred"
cginoop,cooping
bdeloru,"boulder,doubler"
abeootv,obovate
aepprrs,rappers
ainoprs,soprani
adhiims,"hasidim,maidish"
aepprrw,wrapper
aepprrt,trapper
aacelrv,caravel
eeeknst,keenest
eeerttw,tweeter
dillruy,luridly
ciossuv,viscous
glnnoru,longrun
adefflw,waffled
allprsu,plurals
ddgiinr,ridding
bbgiosu,gibbous
aerrsty,strayer
ddeiknr,kindred
ceepprt,"percept,precept"
ceeppru,prepuce
adghipr,digraph
aeeprtz,trapeze
dggiiln,"gilding,gliding"
efhilss,"hisself,selfish"
ginoppt,topping
giilmnp,limping
ginopps,sopping
ginoppp,popping
cdeillu,cullied
dddeegr,dredged
giilmno,moiling
giilmnn,limning
ddeimns,middens
eehklss,shekels
eginnrs,ginners
aerrstv,starver
aehlprs,"plasher,spheral"
dflootu,foldout
eginstt,"setting,testing"
aegiinr,nigeria
aeilnvy,naively
dnnosuw,sundown
aehmprs,hampers
cdeekls,deckles
cdeeklr,clerked
imnnosw,minnows
beenors,enrobes
ddegiis,giddies
ddegiir,giddier
ailoqtu,aliquot
aemnttu,nutmeat
adginor,adoring
deilszz,sizzled
aejlnuv,juvenal
adeorst,roasted
abgkkno,bangkok
ginopru,"ingroup,pouring"
aeesttt,testate
ginoprv,proving
flosuuv,fulvous
glprsuy,splurgy
abclost,cobalts
aalorsu,arousal
eghhist,"eighths,heights,highest"
delnosu,"loudens,nodules"
efhinst,fishnet
aiilmmn,minimal
billopx,pillbox
ddeiirt,dirtied
eflmosu,fulsome
abddins,disband
giinosy,yoginis
ceikstw,wickets
ceikstt,tickets
ddeggru,"drugged,grudged"
achijks,hijacks
eeopssu,espouse
eeelprs,"peelers,sleeper"
eeelprt,replete
gginrsu,surging
ceffisu,suffice
adfinrt,indraft
alopprs,poplars
cffikko,kickoff
eiiklrs,silkier
elorrss,sorrels
aajmpsy,pyjamas
aadhlry,halyard
acddeef,defaced
bginpru,burping
cdelmop,clomped
adeetux,exudate
eeimnot,onetime
acddees,decades
aeehlsy,eyelash
ggimnsu,muggins
deiinoz,ionized
eeilpru,puerile
aeehlss,leashes
acddeey,decayed
deiinot,edition
deiinos,"iodines,ionised"
cehlpps,schlepp
aeerrsw,"swearer,wearers"
eilsszz,sizzles
aeerrsu,erasure
aeerrst,"serrate,tearers"
aeerrss,erasers
cdeeopr,proceed
demoprt,tromped
definux,unfixed
egilppr,gripple
eeilprs,"replies,spieler"
bhoostw,bowshot
amopstt,topmast
aaaclrz,alcazar
cekopst,pockets
ginrsst,strings
delnrtu,trundle
aegimrr,armiger
aegimrs,mirages
aaegnop,apogean
cejnosu,"jounces,juncoes"
forruwy,furrowy
aegimry,imagery
ffjmopu,jumpoff
abeinrs,serbian
gillnpu,pulling
adekrst,darkest
abcdeor,brocade
eggnrsu,snugger
fgilnsy,flyings
cipstty,styptic
abehilr,hirable
eefnssy,feyness
chinoor,chorion
aacdetu,caudate
eefnssw,fewness
aeglpru,"earplug,graupel,plaguer"
behirsu,bushier
aeehssv,sheaves
deiinrt,"inditer,nitride"
deiinrv,diviner
adnorsw,onwards
bbdelmu,bumbled
deiinrs,insider
deeirrt,"retired,retried,tireder"
deeirrv,deriver
deeirrw,"rewired,weirder"
chhnoos,honchos
deiknov,invoked
ainossu,suasion
belmrsu,"lumbers,rumbles,slumber"
ejmosst,jetsoms
aggginn,"ganging,nagging"
aooprtt,taproot
deehlpw,whelped
elnnoss,nelsons
deefgin,"feeding,feigned"
agimsst,stigmas
bcekosu,buckoes
cdekkno,knocked
cehkors,"chokers,hockers,shocker"
bbbgiin,bibbing
beimrst,"timbers,timbres"
aeosuvz,zouaves
ccgikno,cocking
aeeeglt,legatee
aaloprs,parasol
aeehrsw,whereas
ggiinsu,guising
acchino,chicano
fiknosx,foxskin
aimnopr,rampion
elorsss,lessors
adeknsw,swanked
giknorw,working
aainrsu,saurian
aabdnno,abandon
bdeeruw,burweed
cnooppr,popcorn
adeknsu,unasked
eeklrst,"kestrel,skelter"
cdehikr,chirked
empprsu,pumpers
cloopst,coplots
eehllsy,shelley
belrtuy,"brutely,butlery"
chirrsu,currish
eeimrrt,"miterer,trireme"
abekmrs,embarks
eemorst,"emoters,meteors"
