aajnp,japan
aessv,"saves,vases"
aanst,"santa,satan"
dfinu,fundi
bmpuy,bumpy
dfins,finds
abjot,jabot
clruy,curly
corsw,crows
corst,torcs
acegl,glace
corss,cross
aehvy,heavy
ahprs,"harps,sharp"
alrtu,ultra
acceh,cache
einop,opine
ilmsy,slimy
abceh,beach
deekn,kneed
abeiz,baize
aghtu,aught
agist,"agist,gaits"
dgiry,ridgy
abcer,"acerb,brace,caber"
impss,simps
cfhil,filch
mstyy,stymy
dgirs,"girds,grids"
deeky,keyed
aeivw,waive
alssy,slays
aeeln,anele
histx,sixth
gssuy,gussy
agmny,mangy
aammm,mamma
rstuw,wurst
clmsu,culms
imnty,minty
bbnuy,nubby
aacss,casas
aadeg,adage
emopt,tempo
aacsw,awacs
emops,"epsom,mopes,poems,pomes"
eglst,gelts
eglsu,"glues,luges"
ehjsu,jehus
aciln,linac
ddoos,dodos
eprry,"perry,pryer"
aciim,amici
aciil,cilia
aadeh,"aahed,ahead"
aeels,"easel,lease"
dgils,gilds
eerss,"seers,seres"
emosy,mosey
dgilu,guild
mpssu,sumps
hitwy,"whity,withy"
ajyzz,jazzy
einnv,venin
bcceo,bocce
ipswy,wispy
imssw,swims
emosw,meows
imsst,mists
moost,moots
cciiv,civic
booty,booty
ceeem,emcee
ijkmu,mujik
lppsu,pulps
einwy,winey
imssy,missy
eilou,louie
anott,tanto
korsw,works
deisz,sized
bcikr,brick
chlru,"churl,lurch"
emoss,moses
deiss,sides
deist,"deist,diets,dites,edits,sited,stied,tides"
dmoos,"dooms,moods,sodom"
deisv,"dives,vised"
copuy,coypu
aeosz,zoeas
ehitw,"white,withe"
acrry,carry
eelss,"elses,seels"
astty,tasty
eefls,"feels,flees"
eeflr,fleer
elmor,morel
adffy,daffy
bsttu,butts
eeflt,fleet
jlosw,jowls
aaino,anoia
loops,"loops,pools,sloop,spool"
filuz,fuzil
alpsw,pawls
eekop,pekoe
loopy,loopy
eklps,kelps
cijuy,juicy
cinos,"cions,coins,icons,scion,sonic"
cinot,tonic
acors,"orcas,oscar"
aakns,"kanas,sanka"
adgly,glady
beilo,obeli
orttu,"trout,tutor"
aainv,avian
eimpt,tempi
eikrs,skier
eknow,woken
aains,asian
bceru,"bruce,cuber"
aainq,qiana
einvy,veiny
eoprs,"pores,poser,prose,ropes,spore"
eoprr,"repro,roper"
eoprt,"petro,toper,trope"
lmost,molts
gootu,outgo
ilpss,"lisps,slips"
aassy,assay
enpru,prune
demno,"demon,monde"
bcipu,pubic
ilpst,"slipt,spilt,split"
demns,mends
beisv,vibes
cdstu,ducts
abnrs,"barns,brans"
ceott,octet
ehnpr,phren
ceotv,covet
afmrs,farms
klnop,plonk
lopsu,loups
fstuy,fusty
abnru,"unbar,urban"
fimot,motif
lopst,plots
bdegi,gibed
abeht,bathe
adrty,tardy
agiln,"algin,align"
cefkl,fleck
abnrw,brawn
cnoot,conto
inptu,input
almst,malts
almsu,"alums,mauls"
agilr,grail
ejkos,jokes
cnoor,croon
cnoos,coons
bdegu,"budge,debug"
abeho,obeah
almsy,amyls
astvy,vasty
aeemn,enema
aadds,dadas
ksstu,tusks
aehmr,harem
fipux,fixup
imnst,mints
imnsu,minus
dinsw,winds
aaddx,addax
dinst,dints
cjnou,junco
ahmst,maths
llmsu,mulls
dirty,dirty
aeruz,azure
eprsy,"preys,pyres"
adehw,hawed
aortt,tarot
eglru,"gluer,gruel"
ceips,"epics,spice"
cilou,oculi
ehops,"hopes,shope"
eprss,press
artty,ratty
aaenr,"anear,arena"
deesw,"sewed,swede,weeds"
aaenp,"apnea,paean"
efhls,"flesh,shelf"
cdelu,clued
hijos,shoji
adgil,algid
hoort,"ortho,thoro"
iklnp,plink
iklns,"kilns,links,slink"
cchko,chock
efrry,"ferry,fryer,refry"
deloy,"yodel,yodle"
aakky,kayak
cchku,chuck
ddoty,toddy
cdelo,dolce
eimrx,"mixer,remix"
cntuu,uncut
eglns,glens
deffo,offed
agmpr,gramp
deffi,fifed
coops,"coops,scoop"
cdilu,lucid
apstu,"sputa,stupa"
adimn,admin
aclrw,crawl
ejosy,joeys
adimt,admit
dmpuy,dumpy
bddiy,biddy
morst,storm
kklsu,skulk
adimr,mardi
adims,"amids,maids,midas"
glops,glops
flouw,woful
ipssw,wisps
adimx,admix
coost,"coots,scoot"
eptty,petty
chnot,notch
apsst,"pasts,spats"
coopt,coopt
chikn,chink
gosty,stogy
apssy,spays
gostu,"gouts,gusto"
illps,"pills,spill"
inoor,orion
ailnv,"anvil,vinal"
dekno,kendo
gghos,hoggs
ailns,"anils,nails,slain,snail"
opppy,poppy
ailnp,"lapin,plain"
dootu,outdo
cestu,"cutes,scute"
ainno,anion
chiks,hicks
chikt,thick
amprs,"prams,ramps"
ailny,inlay
nnouw,unwon
enrtz,nertz
ggnos,"gongs,noggs"
deetw,tweed
aepss,"apses,passe"
aepst,"paste,pates,peats,septa,spate,tapes"
aepsu,pause
aepsv,paves
anrsy,yarns
aepsx,paxes
ehstw,"thews,whets"
aorss,soars
eehps,sheep
efrss,serfs
enrtu,tuner
aagnp,"pagan,panga"
aagnr,grana
aagns,"angas,sanga"
akrst,"karst,karts,stark"
adkls,skald
adhsu,sadhu
adhst,hadst
adhsy,"dashy,shady"
dnotu,donut
adekn,"knead,naked"
beijs,jibes
beijr,jiber
iknst,"knits,stink"
dmpsu,dumps
iknsw,winks
iknps,pinks
adekl,laked
iknss,"sinks,skins"
bghou,bough
oprxy,proxy
ilptu,tulip
ggsuv,vuggs
abetu,beaut
abett,betta
ejmmy,jemmy
deemw,mewed
errwy,wryer
beglu,"bugle,bulge"
lllos,lolls
ackrw,wrack
ablly,bally
adkry,darky
adkrs,darks
adlow,woald
ablls,balls
aestu,saute
dfios,fidos
abllo,ballo
eegks,geeks
eegkr,greek
aanry,aryan
abwyy,byway
afnwy,fawny
ahpst,"paths,staph"
ahpss,hasps
mrstu,strum
eeins,seine
alnps,plans
bnnoy,bonny
bbeko,kebob
ablsw,bawls
akklu,kulak
chitw,witch
dertu,trued
chity,itchy
einrt,"inert,inter,niter,nitre,trine"
aahps,pasha
einrv,riven
eipsw,"swipe,wipes"
fmpru,frump
einrs,"reins,resin,rinse,risen,serin,siren"
anruy,unary
aenrv,raven
eltwy,wetly
fghit,fight
akrsw,warks
aaprt,apart
aaprs,paras
aestx,"taxes,texas"
beeos,obese
cruvy,curvy
aklop,polka
abdls,balds
aeksw,"askew,wakes"
aeksu,ukase
bffos,boffs
aekss,sakes
abdly,badly
ilnos,"linos,lions,loins"
eostx,sexto
achnt,chant
aders,"dares,dears,rased,reads"
aderr,"darer,drear"
adert,"dater,derat,rated,tarde,tared,trade,tread"
aderw,"wader,wared"
aderv,"drave,raved"
adery,"deary,deray,rayed,ready"
aeest,"setae,tease"
abdln,bland
aderz,razed
eostt,totes
eostv,"stove,votes"
aflxy,flaxy
aiqsu,"quais,quasi"
ceefs,feces
dglos,golds
bilmp,blimp
bilms,limbs
lnopy,pylon
aggin,aging
iprss,priss
bilmy,"blimy,limby"
ekprs,perks
dgloy,godly
aefsz,fazes
ddelo,doled
aefsx,faxes
efrst,frets
aggis,gigas
imstt,mitts
ahksw,hawks
ahqsu,quash
aefss,safes
bilmo,"limbo,mobil"
imsty,"misty,stimy"
ackrs,racks
chotu,"couth,touch"
ceefn,fence
alnxy,xylan
aeipt,pieta
egsvy,gyves
arstt,"start,tarts"
deirs,"dries,rides,sired"
dhnou,hound
hkops,kophs
deirw,"weird,wider,wierd,wired,wried"
deirv,"diver,drive,rived,verdi"
nrstu,"runts,turns"
jlost,jolts
adrst,"darts,drats"
bstuy,busty
aekrt,taker
aprsu,"praus,supra"
aprst,"parts,prats,sprat,strap,tarps,traps"
aprsw,"warps,wraps"
cdeou,douce
aprsy,"prays,raspy,spray"
ejrry,jerry
glpuy,gulpy
cknoy,conky
adrsy,"drays,yards"
dfoos,foods
alnrs,snarl
ilnvy,vinyl
hhssu,shush
hpsuy,pushy
brruy,burry
adhss,shads
delsw,welds
fttuy,tufty
behrt,berth
adipr,"padri,rapid"
gortu,grout
arstw,"straw,swart,warts"
ijost,joist
behrs,herbs
degly,ledgy
deiov,video
bhirt,birth
aakrs,araks
aakrt,karat
behry,herby
gloos,logos
hortw,"throw,worth,wroth"
llnsu,nulls
acmpy,campy
deisw,"wides,wised"
chimo,ohmic
acmpr,cramp
acmps,"camps,scamp"
enosv,ovens
enost,"notes,onset,seton,steno,stone,tones"
airtt,trait
enstw,newts
deorx,redox
enstu,"tunes,unset"
abefl,fable
alsst,"lasts,salts,slats"
deort,"doter,trode"
deorw,"dower,rowed"
deorv,"dover,drove,roved"
bblru,blurb
deors,"doers,doser,redos,rosed"
deorr,order
eghit,eight
deilm,limed
eghiw,weigh
cikpy,picky
eimrt,"merit,miter,mitre,remit,timer"
acflo,focal
iklms,milks
abcks,backs
adevw,waved
cefor,force
cikps,"picks,spick"
fknsu,funks
acfls,calfs
aally,allay
bcemo,combe
eghin,"hinge,neigh"
cpssu,"cusps,scups"
cehor,"chore,ocher,ochre"
cehos,chose
cehop,epoch
anssw,swans
cejoy,joyce
elpsu,"pules,pulse"
beghr,bergh
ahlsu,"hauls,hulas"
clotu,clout
ehmsy,meshy
aluvv,vulva
cloty,octyl
eeiry,eyrie
elpsy,yelps
iklmy,milky
cghou,cough
ehnsw,"shewn,whens"
orssu,sours
borru,burro
effir,fifer
fnotu,fount
glmou,mogul
cekns,necks
oorrt,rotor
amsst,masts
noops,"snoop,spoon"
noopr,porno
bmosw,wombs
hmptu,thump
eepps,peeps
hopsy,"hypos,sophy"
affqu,quaff
adgln,gland
adgls,glads
cdhor,chord
hknuy,hunky
eehrx,hexer
eehrw,"hewer,where"
ehntt,tenth
dehss,sheds
eehrt,"ether,there,three"
eehrs,"heres,sheer"
aelmz,mazel
adntu,daunt
cdiks,dicks
cdiky,dicky
eissw,wises
gloss,"gloss,slogs"
eissu,issue
eisst,"sites,sties"
adkly,alkyd
glosw,glows
ehlms,helms
cdlou,"cloud,could"
cdnoo,"codon,condo"
eissz,"sizes,zeiss"
cdlos,"clods,colds,scold"
eissx,sixes
eprsu,"purse,super"
ehpry,hyper
llnou,nullo
hopsw,whops
bghit,bight
eintu,"unite,untie"
aegis,aegis
aajlp,jalap
aegim,image
aegil,agile
gnopr,prong
abers,"bares,baser,bears,braes,saber"
aberr,"barer,barre"
ghnot,thong
crstu,"crust,curst"
aberz,"braze,zebra"
abery,yerba
aceft,facet
affst,staff
acetx,exact
acefr,"facer,farce"
acefs,"cafes,faces"
ghlou,"ghoul,lough"
deppu,upped
eegis,"seige,siege"
acssu,casus
acsst,"casts,scats"
glmoo,gloom
glmos,gloms
acitv,vatic
eegil,liege
acitt,"attic,tacit"
eegin,genie
acefl,fecal
acefh,chafe
acefi,facie
mmoty,tommy
adiir,radii
gijno,jingo
derru,ruder
eflmu,flume
acetu,acute
acetz,aztec
efgin,feign
efgio,fogie
ccely,cycle
acett,tacet
defuz,fuzed
derry,"dryer,redry"
aalwy,alway
belnt,blent
acdel,"decal,laced"
aapps,papas
abntu,bantu
aappu,papua
ipquu,quipu
illms,mills
abdny,bandy
eltux,exult
efgir,grief
aenpt,paten
abdnr,brand
cehtu,chute
ehrtw,threw
frstu,turfs
aflsy,flays
adelz,lazed
adely,"delay,layed,leady"
adelx,axled
aekqu,quake
ehosv,shove
aimns,mains
adels,"dales,deals,lades,lased,leads"
adelr,"alder,lader"
achht,hatch
adelw,"lawed,waled,weald"
aflst,flats
aflsw,flaws
adelt,"dealt,delta,lated"
aeims,amies
aglry,"glary,gyral"
aimno,"amino,animo"
closu,locus
fglsu,gulfs
adeln,"eland,laden"
adelm,"lamed,medal"
adell,ladle
aeimz,maize
dnosy,synod
bills,bills
llloy,lolly
besty,bytes
aqstu,squat
hmoru,humor
aimnt,matin
ademt,"mated,tamed"
bbeir,bribe
deeir,eider
cemsy,cymes
lnoos,loons
aegpr,"gaper,grape"
deeil,elide
aeiln,"alien,aline,anile"
ddesu,dudes
egisv,gives
egisu,guise
aekpy,peaky
eekln,kneel
cptuu,cutup
aenst,"antes,etnas,nates,neats"
emssu,muses
dhory,hydro
hostu,"shout,south,thous"
fgguy,fuggy
emssy,messy
hirrs,shirr
achin,"chain,china"
gnorw,"grown,wrong"
abdns,bands
eprtu,erupt
aeent,"eaten,enate"
dills,dills
aeenr,ranee
estyz,zesty
dilly,"dilly,idyll"
bloop,bloop
egluy,gluey
adrsw,"draws,sward,wards"
ademn,"admen,amend,maned,named"
dgins,dings
dginr,grind
amrry,marry
ccikl,click
bikln,blink
amnnu,"annum,unman"
aggjs,jaggs
actty,catty
hlmpy,lymph
ahlty,lathy
eegos,ogees
civvy,civvy
ccikr,crick
dgino,"dingo,doing"
aadin,"diana,naiad"
bnorw,brown
giltu,guilt
eekrs,reeks
egssu,guess
egsst,gests
ejrwy,jewry
eekry,"reeky,rekey"
bnoru,bourn
ddosy,soddy
ghrsu,shrug
ilory,roily
akptu,kaput
iipst,tipis
frsuy,surfy
clooy,cooly
chknu,chunk
defil,"fidel,field,filed,flied"
defin,"fiend,fined"
chino,chino
llors,rolls
ailmu,miaul
intwy,twiny
ailms,"islam,limas,mails"
llort,troll
glloy,golly
ailmn,milan
hlssu,"shuls,slush"
optty,potty
chins,chins
defix,fixed
aepvy,peavy
chinp,pinch
defit,fetid
defiw,wifed
abfrs,barfs
dehmo,homed
cfosu,focus
defis,fides
adehl,haled
eefrs,"frees,reefs"
eefrr,"freer,frere,refer"
oopst,"stoop,topos"
eefrw,fewer
aglmo,gloam
eefry,"feyer,reefy"
adelu,laude
cklnu,clunk
ehtwy,thewy
beefy,beefy
cepss,specs
achty,"cathy,yacht"
knost,knots
cepsu,puces
hiprt,thrip
aaekp,apeak
clstu,cults
ghint,"night,thing"
achtw,watch
hmsty,myths
aaekw,awake
bbbis,bibbs
eghru,huger
adeor,"adore,oared,oread"
illtw,twill
ehorv,hover
ddimy,middy
diitx,dixit
cikln,clink
chopr,porch
eelno,leone
cipty,typic
abbno,nabob
aeinx,xenia
hikss,sikhs
eelnw,newel
acdtu,ducat
eelns,lense
acffh,chaff
efilx,felix
dgoru,gourd
cikls,"licks,slick"
ahrxy,hyrax
amoss,somas
eipss,spies
bclsu,clubs
cegks,gecks
ilppu,pupil
eipsx,pixes
eipsy,yipes
ilppy,lippy
dimtu,tumid
acerz,craze
eissv,vises
aklsw,walks
agksw,gawks
gilms,glims
lmpsu,"lumps,plums,slump"
cdkuy,ducky
emnos,"meson,omens"
egrsy,"greys,gyres"
aboot,taboo
ehort,"other,throe"
imprs,"prims,prism"
cehpr,perch
hoopw,whoop
defsu,"feuds,fused"
hoops,"hoops,poohs"
ackns,snack
hiiln,nihil
eossu,souse
giins,ignis
einrw,rewin
cchis,chics
ahikk,khaki
cchin,cinch
cchio,chico
ilrsw,swirl
ahstw,"swath,thaws,whats"
cchik,chick
eepss,seeps
ammsu,summa
abhls,blahs
chksu,"hucks,shuck"
eepsy,seepy
adgos,"dagos,goads"
dehpt,depth
eorss,"roses,sores"
adioz,"azido,diazo"
aijkn,kanji
aelvy,vealy
noswy,snowy
adiov,avoid
losst,slots
eiiss,issei
adiou,audio
adior,radio
adios,adios
adiop,podia
eiisv,ivies
blssu,slubs
glory,glory
bcmru,crumb
diilp,lipid
abcss,scabs
ablst,"blast,blats"
glorw,growl
lossw,slows
ggmsu,muggs
cisst,cists
ablss,slabs
dnoru,round
elpru,puler
aostt,"stoat,toast"
aostu,autos
chiil,"chili,lichi"
aillv,villa
llost,tolls
dooru,odour
doors,"doors,odors,ordos,roods"
ejkrs,jerks
aanpv,pavan
eensv,"evens,seven"
fintu,unfit
aghlu,laugh
eensu,ensue
eiswz,wizes
achkl,chalk
cfort,croft
aaglx,galax
abmos,sambo
efhno,foehn
aemnx,axmen
abegl,"bagel,gable,gleba"
dgnsu,dungs
ahnno,honan
aemnt,"ament,meant"
eilnt,"inlet,intel"
aemnr,"namer,reman"
aemns,"amens,manes,manse,means,names"
ehilw,while
aekny,kenya
aglly,gally
ehilt,lithe
ehils,heils
aagll,algal
ehiss,shies
aglls,galls
ceprt,crept
aeknr,karen
dnorw,drown
aeknt,taken
ajnsu,"janus,juans"
ehilx,helix
einss,sines
derst,drest
derss,dress
birtu,bruit
einst,"inset,senti,stein,tines"
aabck,aback
einsz,zeins
acnrs,narcs
einsx,nixes
elltu,tulle
einpy,piney
dersy,dyers
below,"below,bowel,elbow"
belou,boule
hlruy,hurly
belos,"boles,lobes"
belor,roble
diims,midis
eesss,esses
bimrs,brims
abdor,"board,broad"
eirvw,wiver
lnooy,loony
inort,"intro,nitro"
ilsst,"lists,silts,slits"
adosw,woads
abegn,began
bekru,burke
denps,"pends,spend"
bfflu,bluff
achos,chaos
achop,poach
aekrw,"waker,wreak"
ajnos,jason
oprsy,prosy
aekrr,raker
aekrs,"asker,rakes"
adesv,"devas,saved"
deilr,"idler,riled"
adest,"dates,sated,stead"
fiyzz,fizzy
abboo,baboo
achoo,achoo
cnssy,syncs
aflps,flaps
ceelt,elect
admps,damps
adkov,vodka
adesz,"adzes,dazes"
ilnst,lints
afins,naifs
acdot,octad
aalss,salsa
aijls,jails
acdos,codas
cehno,cohen
fruyz,furzy
dlouw,would
cikqu,quick
flluy,fully
osstw,stows
klrsu,lurks
hiops,hopis
hiopp,hippo
acfot,facto
nnsuy,sunny
ijnns,jinns
hmpsu,humps
bdeik,biked
cehnt,tench
eghhi,heigh
chnru,churn
kkoos,kooks
asssy,sassy
arstu,sutra
elptu,letup
mpstu,"stump,tumps"
kkooy,kooky
abiln,"binal,blain"
empty,empty
ehmrt,therm
bcilm,climb
koors,rooks
adoss,sodas
arstz,tzars
borsw,brows
koory,rooky
erstu,trues
borst,borts
elorv,lover
eirvv,vivre
agkss,skags
noprs,porns
acior,cairo
efguu,fugue
ahswy,washy
adilp,plaid
mppsu,pumps
akquy,quaky
aefuv,fauve
bipsu,pubis
eekss,seeks
cknos,"conks,nocks"
noruy,yourn
eeksw,weeks
eefmm,femme
eekst,skeet
epsst,"pests,septs,steps"
epssu,"spues,supes"
deipw,wiped
epssw,spews
dillr,drill
moors,"moors,rooms"
agruu,augur
alrwy,rawly
acrsy,scary
acrsz,czars
alppy,apply
illrs,rills
belno,"nobel,noble"
alswy,yawls
efmtu,fumet
aairs,arias
bestu,tubes
acrss,"crass,scars"
acrst,carts
acrsu,arcus
aairt,"atria,tiara"
acrsw,craws
cdruy,curdy
desty,styed
gnruw,wrung
morru,rumor
eflno,felon
ghhit,"hight,thigh"
eerrt,terre
abghn,bhang
destu,duets
aakpr,parka
mstuy,musty
aakpp,kappa
fisst,"fists,sifts"
elmsw,mewls
eggiu,gigue
alpps,"lapps,palps"
addpy,paddy
chmsu,chums
abiil,alibi
hippy,hippy
efnny,fenny
abkry,"barky,braky"
inqtu,quint
abilr,"brail,libra"
eills,lisle
eegoy,yogee
abkrs,barks
ilstz,liszt
acenn,nance
eekls,"keels,leeks,sleek"
aafls,alfas
dlors,lords
deotu,outed
aamny,mayan
dlorw,world
aaflt,fatal
giosy,yogis
aehps,"heaps,phase,shape"
dhiin,hindi
bnssu,snubs
ilstw,wilts
deoty,toyed
elmot,motel
aaklr,kraal
elmos,moles
aaklp,kalpa
cekrs,recks
bosuy,"bousy,buoys"
ahknt,thank
akpwy,pawky
bnrsu,burns
ginoy,yogin
chort,torch
chops,chops
aiosv,aviso
ilmps,limps
degrs,dregs
bhmtu,thumb
cikms,micks
aaklo,koala
aallw,walla
degry,gyred
eiprs,"peris,piers,pries,prise,ripes,spier,spire"
eiprr,"prier,riper"
anstu,"aunts,tunas"
ceovy,covey
alnwy,"lawny,wanly"
frtuy,turfy
eiprt,"petri,tripe"
eimmo,mimeo
eiprz,prize
aggjy,jaggy
ansty,"nasty,tansy"
eimms,mimes
eimmr,mimer
egrru,urger
lmppu,plump
alppu,pupal
fijsu,fujis
deehx,hexed
egpty,egypt
ippsy,sippy
cemtu,tecum
aqsuy,quays
dginy,"dingy,dying"
deehs,heeds
achlt,latch
gnrtu,grunt
egptu,getup
adepw,pawed
afisw,waifs
ffirs,riffs
hnstu,"hunts,shunt"
iorvz,vizor
iorvy,ivory
aevwy,wavey
dkuuz,kudzu
ahpry,harpy
hoswy,showy
asstv,vasts
adept,"adept,pated,taped"
ahijs,hajis
eensw,weens
gsstu,gusts
cfklo,flock
ejtty,jetty
chnsy,synch
eeeir,eerie
dhosw,dhows
adepr,"drape,padre,pared,raped"
dentu,tuned
aacrs,sacra
agssy,gassy
agssu,gauss
agsst,stags
dilmy,dimly
aerwy,weary
agnot,tango
eettw,tweet
acgss,scags
oosst,soots
abbel,babel
hlsyy,shyly
corwy,cowry
adeem,edema
abbek,kebab
egorr,roger
adeer,eared
adees,eased
abhst,"bahts,baths"
abbes,"abbes,babes"
deenr,ender
abbey,abbey
ackqu,quack
ghotu,"ought,tough"
bkosy,bosky
bchir,birch
dekot,toked
bchit,bitch
bklsu,bulks
impru,purim
egrsu,"surge,urges"
ehrsw,shrew
ejlou,joule
enopr,prone
dlmou,mould
dlmos,molds
deenu,endue
acmsu,sumac
enopy,peony
abelz,blaze
adilt,tidal
dlmoy,moldy
hissv,shivs
acjky,jacky
hisst,"hists,shist,shits"
fgirt,grift
bhsuy,bushy
emntu,unmet
eortx,oxter
aertt,"tater,tetra,treat"
aenrt,antre
acjks,jacks
sstxy,xysts
beiow,bowie
aenrs,"earns,nares,nears,saner,snare"
aenrr,reran
antty,natty
afiry,fairy
betty,betty
cimpr,crimp
bettu,butte
anttu,taunt
eenss,sense
dkosu,kudos
efiry,"fiery,reify"
efirx,"fixer,refix"
bekor,broke
ehopr,hoper
efirs,"fires,fries,serif"
efirr,"firer,frier,rifer"
ahijj,hajji
dnoos,snood
efirv,fiver
eknor,krone
deinr,diner
aehrz,hazer
aehry,hayer
ghlpy,glyph
fkors,forks
aehrs,"hares,hears,rheas,share,shear"
eersv,"serve,sever,veers,verse"
eegnr,"genre,green"
eegns,genes
fkory,forky
aehrv,haver
aehrt,"earth,hater,heart"
bbcoy,cobby
dejku,juked
abemy,"beamy,embay,maybe"
eiptw,pewit
afgns,fangs
degoy,dogey
abemr,"amber,bream,embar"
abems,"beams,bemas"
elops,"lopes,poles,slope"
elopr,"loper,poler,prole"
degor,gored
degos,doges
eeisz,seize
moosz,zooms
aellp,lapel
eortw,"tower,wrote"
almpy,"amply,palmy"
chhnu,hunch
deeop,epode
inpst,pints
almpu,ampul
bbeop,bebop
almps,"lamps,palms,plasm,psalm"
eersx,rexes
inpss,"snips,spins"
abiss,"basis,bassi"
abist,baits
abcir,"baric,rabic"
abcis,basic
eegrt,"egret,greet"
aehnv,haven
eegrv,verge
aeghu,hague
aehns,ashen
bcdeu,cubed
eegrs,"reges,serge"
aehnn,henna
emoty,motey
ilnty,linty
acimp,campi
acims,micas
estuy,suety
imnor,minor
abcin,cabin
clmop,clomp
emott,"motet,totem"
imnos,simon
ilmpy,imply
lrtuy,truly
acems,"acmes,maces"
acemr,"cream,macer"
eemst,"meets,metes,teems"
clloy,colly
ffims,miffs
alsty,"salty,slaty"
bnstu,bunts
ddeot,doted
ddeos,dosed
ddeor,odder
ddeop,doped
eiprv,viper
iprvy,privy
ddeoz,dozed
acemo,cameo
eijsv,jives
hnops,phons
bkluy,bulky
nnruy,runny
aeltv,valet
nosty,stony
aboss,"basso,bossa"
hnopy,phony
jmpuy,jumpy
abost,"boast,boats,sabot"
efoss,fosse
hlpsu,plush
bbloy,lobby
deiox,"doxie,oxide"
bbhuy,hubby
abstu,"abuts,tsuba,tubas"
abstt,batts
efosx,foxes
enssu,sensu
deios,eidos
deeps,"deeps,pedes,speed"
dghou,dough
aaelr,areal
aaelt,alate
eiowz,zowie
eiowy,yowie
cdeno,coned
eepwy,weepy
aghmo,ogham
iklls,"kills,skill"
ikllr,krill
aceep,peace
ainrs,"naris,rains,ranis"
enstv,vents
ainrt,"intra,train"
ellst,tells
iiixx,xxiii
adnsu,sudan
eflss,selfs
abrsy,brays
addos,dados
ehosw,"howes,whose"
abrsu,bursa
abrst,brats
abrss,brass
agmrs,grams
eknsy,ensky
abnot,baton
aeotz,azote
abnor,baron
nosst,snots
aeotv,ovate
eorrs,sorer
gnstu,stung
eknsu,nukes
ceiln,cline
eisty,yetis
ceill,celli
ceilm,clime
addsy,dyads
deilt,"tilde,tiled"
aggsy,saggy
deers,"deers,redes,reeds,seder,sered"
hrttu,truth
djosu,judos
aeluv,"uveal,value"
certu,"cruet,cuter,eruct,recut,truce"
pttuy,putty
loruy,loury
krstu,turks
aekor,korea
ahips,"aphis,apish"
efstw,wefts
ceilr,relic
ceils,"ceils,slice"
adnsw,"dawns,wands"
celnu,uncle
doost,stood
acpst,pacts
ekloy,yokel
beers,beers
aghhu,haugh
fnnuy,funny
cenno,nonce
ehlpw,whelp
aclot,octal
eenwy,weeny
aclor,"calor,carlo,carol,coral"
aclos,"coals,colas"
aclop,copal
dgnos,dongs
doosw,woods
accuy,yucca
finuy,unify
finux,unfix
acnop,capon
defiy,"deify,edify"
celno,clone
hiptw,whipt
acnot,"canto,cotan"
opsuy,soupy
befgo,befog
bdiop,bipod
alnuy,unlay
bdiou,dubio
ailtt,atilt
bdiov,bovid
ailty,"italy,laity"
inoqu,quoin
gilno,lingo
erssu,"ruses,russe,suers,users"
abinu,nubia
adnor,"adorn,radon"
einov,"envoi,ovine"
bdoor,brood
einor,noire
defru,freud
gilns,"lings,sling"
bdduy,buddy
iiort,torii
eemot,emote
altuv,vault
gilny,lying
aipst,pitas
aklns,klans
doprt,dropt
dopru,proud
eilor,"oiler,oriel,reoil"
gguvy,vuggy
acnsy,"async,cyans"
eilov,"olive,voile"
doprs,"drops,prods"
acnst,"canst,cants,scant"
eekns,"keens,knees"
ginny,ginny
acnss,scans
aflty,fatly
adewx,"dewax,waxed"
agoss,sagos
binst,bints
abbsu,babus
defir,"fired,fried"
lostv,volts
afltu,fault
agnow,wagon
ehswy,wheys
alloy,"alloy,loyal"
egins,singe
acgim,"gamic,magic"
hmnsy,hymns
allos,ollas
bcehl,belch
bceho,boche
bcehn,bench
allow,allow
ekmpt,kempt
allot,"allot,atoll"
aerwx,"rewax,waxer"
aiprt,"atrip,parti,tapir"
aiprs,"pairs,paris"
bttuy,butty
adipv,vapid
ainps,"pains,spain"
emrtu,muter
eginw,ewing
aalmt,malta
ehnry,henry
aorrw,arrow
ikkns,"kinks,skink"
aorrs,roars
aklos,"kolas,skoal"
almny,manly
fnort,front
dimou,odium
eefrv,fever
aorrz,razor
dimos,misdo
adlos,loads
aknor,"akron,koran,krona"
aknos,"kaons,koans"
begot,begot
adlou,aloud
adguy,gaudy
bcklo,block
begoy,bogey
aestv,stave
aesuv,"suave,uveas"
abbot,abbot
hoqtu,quoth
aelmn,leman
aelmo,amole
amssy,massy
aelmm,lemma
delno,"loden,olden"
ckmos,"mocks,smock"
fgluy,gulfy
beinn,benin
amotz,matzo
deinx,"index,nixed"
elmxy,xylem
amoty,atomy
ghhis,highs
antuy,aunty
aelmy,mealy
beins,"biens,bines"
beinr,brine
aelmr,"lamer,realm"
aelms,"lames,males,meals,salem"
aelmp,"ample,maple"
dekpu,puked
aelmt,metal
cklno,clonk
ghstu,thugs
ehoss,"hoses,shoes"
ehost,"ethos,shote,those"
ehosu,house
eknny,kenny
eeors,erose
aikop,okapi
esstw,"stews,wests"
bnoux,unbox
afhst,"hafts,shaft"
acsuy,saucy
efimr,fermi
acdrs,cards
acort,actor
ahiit,haiti
affix,affix
eilps,"piles,plies,spiel"
eilpr,"peril,plier"
dfjor,fjord
enqru,quern
eervx,vexer
doowy,woody
bdilu,build
hikst,kiths
inopt,"pinto,piton,point"
inops,pions
