aefr,"fare,fear"
ipxy,pixy
blos,"lobs,slob"
iknr,rink
esuz,"suez,zeus"
alru,ural
mosw,mows
mosu,sumo
apss,"asps,pass,saps,spas"
dgno,dong
eggy,yegg
apsw,"paws,swap,wasp"
apsy,"pays,spay,yaps"
ppsu,pups
egvy,gyve
enrt,"rent,tern"
hmny,hymn
eego,ogee
dgnu,dung
ajzz,jazz
cess,"cess,secs"
eipr,"pier,ripe"
flux,flux
cesu,"cues,ecus"
cest,sect
grsu,rugs
ahox,hoax
ahoy,ahoy
mnor,"morn,norm"
afor,"afro,faro,fora"
afos,"oafs,sofa"
cgku,guck
ersu,"rues,ruse,suer,sure,user"
afoy,ofay
bffu,buff
bekr,kerb
bnoo,"bono,boon"
arzz,razz
ipss,"piss,sips"
ipst,"pits,spit,tips"
ipsu,pius
mssu,"muss,sums"
mnow,mown
bnoy,bony
brtu,brut
ervy,very
bnos,"bons,nobs,snob"
bnor,born
bffo,boff
bffi,biff
ghsu,"gush,hugs,ughs"
ehop,hope
frsu,"furs,surf"
ehos,"hoes,hose,shoe"
deky,dyke
floo,fool
ehow,howe
eijo,joie
agrs,"gars,gras,rags"
acmo,coma
eijv,jive
acmp,camp
acms,"cams,macs,scam"
acmr,"cram,marc"
enov,oven
enow,enow
enot,"note,tone"
acmy,ymca
flop,flop
enox,oxen
apst,"past,pats,spat,taps"
flou,foul
flot,loft
flow,"flow,fowl,wolf"
aais,asia
aair,aria
efsu,fuse
llmo,moll
elot,tole
elov,"levo,love,vole"
elop,"lope,pole"
elor,"lore,role"
agry,"gary,gray"
agnp,pang
abot,boat
hllu,hull
bchu,chub
cprt,rcpt
ertu,true
llmu,mull
agnr,rang
aail,alai
eekp,"keep,peek,peke"
eeks,"ekes,seek"
eekr,reek
dkou,kudo
eekw,week
bclo,bloc
efos,foes
abek,"bake,beak"
dmoo,"doom,modo,mood"
dmor,dorm
dmos,"doms,mods"
bclu,club
hkoo,hook
eorv,"over,rove"
frtu,turf
jlot,jolt
jlow,jowl
eekm,meek
eekl,"keel,leek"
eekn,"keen,knee"
eery,"eery,eyer"
essw,sews
lory,lory
esst,sets
acft,fact
anvy,navy
loru,lour
doow,wood
bglo,glob
eerw,"ewer,were,were"
door,"door,odor,ordo,rood"
acfl,calf
elvy,levy
acfi,fica
efht,heft
msuw,swum
arvy,vary
akny,yank
eflx,flex
akss,asks
ossw,sows
begr,berg
ceno,"cone,econ,once"
bhsu,"bush,hubs"
akno,koan
cent,cent
begi,gibe
aens,sane
bpsu,pubs
bosy,boys
ciss,sics
ahil,hail
ahij,haji
envy,envy
amns,mans
bell,bell
belo,"bole,lobe"
ipty,pity
belu,"blue,lube"
gikn,king
bfis,fibs
denp,pend
bpst,tbsp
ahit,thai
gims,migs
ahir,hair
deny,"deny,dyne"
osst,"sots,toss"
cims,misc
denr,"nerd,rend"
mpru,rump
aiqr,iraq
dhlo,hold
dens,"dens,ends,send"
dosw,dows
denu,"dune,nude"
dent,"dent,tend"
denw,wend
chir,rich
ekpr,perk
deno,"done,node"
ekpu,puke
ajms,jams
hipz,phiz
iipt,tipi
city,city
mttu,mutt
imst,"mist,smit"
imsw,swim
imsv,vims
dfsu,fuds
dego,doge
degl,geld
degr,dreg
defi,fide
amnx,manx
degy,edgy
nstu,"nuts,stun,tuns"
adgi,diag
cdhi,chid
eghu,huge
adgl,glad
ekpt,kept
adgn,dang
adgo,"dago,goad"
osty,toys
ally,ally
eksy,keys
klop,polk
defl,fled
knox,knox
kloo,look
eirt,"rite,tier,tire"
foru,four
fort,fort
forw,frow
allm,mall
dksu,dusk
adgr,"drag,grad"
adgs,gads
knot,knot
adgu,gaud
aijl,jail
agjs,jags
ilwy,wily
crux,crux
eilw,wile
ikls,"ilks,silk"
eggs,eggs
abgs,"bags,gabs"
aimm,"imam,maim"
bdnu,bund
amos,"moas,soma"
ccko,cock
korw,work
bdno,bond
amor,roam
eggo,geog
aimp,pima
afst,"fast,fats"
amot,"atom,moat"
lmot,molt
djuy,judy
gnow,gown
gnop,pong
dirs,rids
dijn,djin
admr,dram
ahmw,wham
rssu,ussr
firt,rift
amoy,mayo
eksu,ukes
amox,moxa
abdw,bawd
gnoo,goon
admn,damn
enos,"eons,noes,nose,ones"
drtu,turd
cdgm,cmdg
abck,back
bils,libs
inns,inns
josy,joys
host,"host,hots,shot,tosh"
jost,jots
hosw,"hows,show"
joss,joss
dnuy,undy
aagh,agha
enop,"nope,open,peon,pone"
abis,bias
abit,bait
gllu,gull
akrw,wark
aprs,"pars,raps,rasp,spar"
amno,moan
acpt,pact
fklo,folk
acps,"caps,pacs"
entu,tune
entt,tent
entx,next
doyz,dozy
abim,iamb
cdko,dock
hoop,"hoop,pooh"
hoos,"oohs,shoo"
hoot,hoot
dpsu,"puds,spud"
bcku,buck
chik,hick
hioo,ohio
chin,"chin,inch"
chip,chip
hiop,hopi
chit,"chit,itch"
aelr,"earl,lear,real"
eikl,like
aort,"taro,tora"
imos,miso
ostu,"oust,outs"
bcko,bock
aorr,roar
aors,"oars,rosa,soar"
dloy,odyl
adly,lady
fizz,fizz
llnu,null
adlu,"auld,dual,laud"
inxy,nixy
aemn,"amen,mane,mean,name"
adls,lads
adlr,lard
afsy,fays
aemr,"mare,ream"
adlo,load
adln,land
cosy,cosy
enno,"neon,none"
aemt,"mate,meat,meta,tame,team"
ehst,hest
ehsu,hues
cosw,"cows,scow"
glsu,"lugs,slug"
aitv,vita
ehss,shes
aemz,maze
amny,"many,myna"
lopw,plow
nnsu,nuns
estz,zest
bims,mibs
dffu,duff
fist,"fist,fits,sift"
mpsu,"sump,umps"
eejr,jeer
eejp,jeep
egmo,geom
allt,tall
eejz,jeez
himw,whim
dinr,rind
hklu,hulk
allw,wall
bcmo,comb
jjuu,juju
ansv,vans
nnou,noun
hklo,kohl
orsy,rosy
bops,bops
aemx,"amex,exam"
allp,pall
luuz,zulu
anry,"nary,yarn"
fglu,gulf
chsu,such
efil,"file,lief,life"
alls,alls
efin,fine
acep,"cape,pace"
aces,"aces,case"
loss,loss
begs,begs
losu,soul
ijlt,jilt
efix,fixe
aceh,"ache,each"
acek,cake
belw,blew
acem,"acme,came,mace"
acel,lace
enoz,zone
ijll,jill
fglo,"flog,golf"
bins,"bins,nibs"
efir,"fire,rife"
eenw,ween
aceg,cage
acef,"cafe,face"
aegp,"gape,page"
aegs,"ages,sage"
aegr,"gear,rage"
aegu,ague
aegt,gate
eivw,"view,wive"
aegv,gave
glmu,glum
aegz,gaze
gimp,gimp
abjs,jabs
abjm,jamb
glmo,glom
aegg,gage
ooyz,oozy
orty,"tory,troy,tyro"
adiw,wadi
aegm,"game,mage"
aegl,gale
attu,taut
aans,nasa
elnt,lent
anrt,"rant,tarn"
imnx,minx
imns,"mins,nims"
eimr,"emir,mire,rime"
fiij,fiji
imnt,mint
deoz,doze
cils,scil
cilp,clip
ackt,tack
acks,"cask,sack"
ackr,rack
ackp,pack
deor,"doer,redo,rode"
deos,"does,dose,odes"
deop,dope
deov,dove
almt,malt
deot,"dote,toed"
aacs,casa
eopr,"pore,rope"
eops,"opes,peso,pose"
eopp,pope
bdgl,bldg
almr,marl
ackm,mack
ackl,"calk,lack"
cilo,"coil,loci"
eopx,expo
alms,"alms,lams,slam"
deho,"hoed,ohed"
hiwz,whiz
iiss,isis
aamt,atma
almp,"lamp,palm"
dehi,"hide,hied"
imry,"miry,rimy"
imrv,mirv
cikn,nick
cikm,mick
cikl,lick
cikk,kick
imrs,rims
cefh,chef
gguv,vugg
cikt,tick
cefl,clef
cikr,rick
dehy,hyde
cikp,pick
dehu,hued
know,know
dehs,shed
dehr,herd
ciky,icky
aepr,"aper,pare,pear,rape,reap"
aeps,"apes,apse,peas"
aept,"pate,peat,tape"
aepv,pave
aepx,apex
dlow,wold
acln,clan
ehlp,help
acll,call
aclm,"calm,clam"
ehlm,helm
aann,anna
aclp,clap
aclw,claw
aclt,talc
aclu,"aclu,caul"
cluy,lucy
aclx,calx
acly,"clay,lacy"
dssu,suds
elly,yell
aahy,ayah
ainr,"iran,rain,rani"
ells,"ells,sell"
ellt,tell
ellw,well
aahs,aahs
aahm,amah
achm,"cham,mach"
iixx,xxii
istw,wits
istt,tits
aimn,main
istz,sitz
bevy,bevy
crsu,curs
lllu,lull
ddos,odds
ahyz,hazy
dikn,kind
gpsu,pugs
gpsy,gyps
gost,togs
lpsu,plus
dikr,dirk
diks,"disk,kids,skid"
altw,walt
amps,"amps,maps"
ddoo,dodo
derw,drew
fmuy,fumy
irst,stir
pttu,putt
irss,sirs
eimt,"emit,item,mite,time"
hopy,hypo
aapp,papa
inot,into
inor,"iron,noir"
inos,ions
inop,pion
hopq,qoph
aims,"aims,amis,siam"
hops,"hops,hosp,posh,shop,soph"
inoz,zion
inoy,yoni
cdit,dict
gruu,guru
dlot,"dolt,told"
dnot,dont
flsu,flus
opss,sops
afmr,farm
opsw,"pows,swop,wops"
opst,"opts,post,pots,spot,stop,tops"
opsu,"opus,soup"
imss,"isms,miss"
gmsu,"gums,mugs,smug"
oott,"otto,toot,toto"
afmo,foam
elns,lens
sttu,tuts
gmsy,gyms
adqu,quad
emnu,menu
bery,byre
foow,woof
affg,gaff
ehlo,hole
hntu,hunt
opty,typo
berv,verb
emno,"nome,omen"
optu,pout
aimx,maxi
aell,leal
aelm,"lame,male,meal"
aeln,"elan,lane,lean"
aelo,aloe
dnoy,yond
fssu,fuss
cdru,"crud,curd"
adms,"dams,mads"
admp,damp
ehpy,hype
ejll,jell
aelx,"axel,axle"
isst,sits
aelz,"laze,zeal"
bkoo,book
aelt,"late,tale,teal"
corw,crow
aelv,"lave,leva,vale,veal,vela"
aelw,"wale,weal"
aelp,"leap,pale,peal,plea"
cors,"orcs,rocs"
gltu,glut
aels,"ales,leas,sale,seal"
ailp,pail
noxy,onyx
adpr,pard
iltt,tilt
aggo,agog
aggn,gang
dnru,durn
bdii,ibid
denv,vend
ekow,woke
aggs,gags
inrt,intr
elux,luxe
egos,"egos,goes"
egor,"ergo,goer,gore,ogre"
ejko,joke
almu,"alum,maul"
agim,magi
agil,gila
hjos,josh
agin,"agin,gain"
dlos,"olds,sold"
dlor,lord
ahht,hath
dils,"lids,slid"
dlou,loud
almy,amyl
dilo,"idol,lido"
dilm,mild
dill,dill
fost,soft
fosu,ufos
ejkr,jerk
almo,loam
gnru,rung
agit,gait
cmsu,scum
ejku,juke
addu,duad
gjsu,jugs
dnow,down
drsu,urds
lnoy,only
dnop,pond
adds,"adds,dads"
cdis,disc
bdis,"bids,dibs"
bdir,"bird,drib"
hlsu,"lush,shul"
addy,dyad
ailm,"lima,mail,mali"
ailn,"lain,nail"
bttu,butt
adde,"dead,edda"
lpru,purl
ailr,"lair,liar,lira,rail,rial"
ails,"ails,sail"
ailt,"alit,ital,lait,tail"
bdin,bind
ailv,"vail,vial"
ailw,wail
ailx,axil
addo,dado
cdio,odic
bilp,blip
cdik,dick
